,1. open,2. high,3. low,4. close,5. volume
2023-01-27,11.8600,12.0000,11.8400,11.9500,7328107
2023-01-26,11.8300,11.8750,11.6950,11.8300,4518556
2023-01-25,11.6700,11.8200,11.6450,11.7800,7149837
2023-01-24,11.8100,11.9600,11.5825,11.7400,7807992
2023-01-23,11.8900,12.0850,11.8700,12.0000,5696588
2023-01-20,11.8200,11.8900,11.6816,11.8800,6100383
2023-01-19,11.8500,11.8600,11.6700,11.7500,7434335
2023-01-18,12.2000,12.2000,11.8650,11.8800,7154626
2023-01-17,12.2300,12.3100,12.1200,12.1500,7103225
2023-01-13,12.1100,12.1400,12.0100,12.1300,5774999
2023-01-12,12.2300,12.2700,12.1250,12.2000,6052336
2023-01-11,12.1800,12.2050,12.0300,12.1800,5844564
2023-01-10,12.2100,12.2200,12.0100,12.1200,7256303
2023-01-09,12.2800,12.3700,12.1900,12.2000,7064947
2023-01-06,12.0200,12.2050,11.9800,12.2000,5014623
2023-01-05,11.9300,12.0000,11.8500,11.9200,5731781
2023-01-04,12.0100,12.1200,11.8900,12.0300,8235148
2023-01-03,11.9100,11.9800,11.8150,11.9200,9391172
2022-12-30,11.9600,12.0050,11.8300,11.9100,4811355
2022-12-29,11.9800,12.0750,11.9600,12.0200,4817653
2022-12-28,12.1400,12.1800,11.9000,11.9100,4146046
2022-12-27,12.0900,12.1200,12.0250,12.0800,4512671
2022-12-23,11.9700,12.0600,11.9250,12.0600,5087653
2022-12-22,12.0600,12.0800,11.7400,11.9800,6056569
2022-12-21,12.1200,12.1700,12.0300,12.1000,6229151
2022-12-20,12.0300,12.1100,11.9500,12.0500,6165535
2022-12-19,12.1000,12.1500,11.9300,12.0200,5031526
2022-12-16,12.2100,12.2300,11.9350,12.0800,12047096
2022-12-15,12.3400,12.3950,12.1800,12.2600,7225064
2022-12-14,12.5500,12.6900,12.3400,12.4800,8962062
2022-12-13,12.7600,12.7800,12.4550,12.5600,9025423
2022-12-12,12.4000,12.4800,12.3100,12.4800,6570880
2022-12-09,12.3900,12.5600,12.3500,12.3700,10507521
2022-12-08,12.1700,12.4500,12.1700,12.4300,9902489
2022-12-07,12.1500,12.3100,12.1100,12.1300,5975290
2022-12-06,12.2800,12.2800,12.0700,12.1500,6235605
2022-12-05,12.3800,12.3900,12.1900,12.2700,6066436
2022-12-02,12.2500,12.5250,12.2200,12.5000,9330763
2022-12-01,12.4400,12.4700,12.2400,12.3800,6252762
2022-11-30,12.0900,12.3900,11.8850,12.3500,12408453
2022-11-29,12.0000,12.1900,11.9900,12.1100,4940537
2022-11-28,12.0000,12.0200,11.9500,11.9900,9843086
2022-11-25,12.1300,12.1750,12.0600,12.0800,3198631
2022-11-23,11.9700,12.0800,11.9400,12.0800,4901425
2022-11-22,11.9300,12.0100,11.9200,11.9900,6032267
2022-11-21,11.8100,11.9950,11.7500,11.9900,7760392
2022-11-18,11.9400,11.9900,11.7600,11.8200,5920739
2022-11-17,11.5500,11.8000,11.5300,11.7900,7775136
2022-11-16,11.7900,11.8600,11.6700,11.6900,8305958
2022-11-15,11.9500,11.9950,11.6600,11.7700,8096722
2022-11-14,11.6700,12.0000,11.6600,11.7900,8852904
2022-11-11,11.7300,11.7400,11.5150,11.6400,7253491
2022-11-10,11.4100,11.6350,11.3300,11.6200,7916321
2022-11-09,11.1300,11.2000,11.0100,11.0200,6245806
2022-11-08,11.3000,11.3400,11.1150,11.2200,8942183
2022-11-07,11.2100,11.2300,11.0950,11.2200,5968895
2022-11-04,11.0100,11.1700,10.9300,11.1600,8453219
2022-11-03,10.7700,10.9050,10.7100,10.7700,9848612
2022-11-02,11.3000,11.3000,10.8300,10.8400,14447718
2022-11-01,11.6600,11.6900,11.3900,11.5900,10513664
2022-10-31,11.6600,11.6600,11.5200,11.5800,16746933
2022-10-28,11.5900,11.7600,11.5300,11.7500,7393863
2022-10-27,11.5300,11.7100,11.5300,11.5400,6644940
2022-10-26,11.5300,11.6500,11.4200,11.4800,6557046
2022-10-25,11.2200,11.4900,11.1350,11.4700,7176094
2022-10-24,11.3500,11.3600,11.1550,11.3000,7319432
2022-10-21,10.9300,11.3100,10.8750,11.3000,8944006
2022-10-20,11.0600,11.1450,10.8400,10.8900,6445936
2022-10-19,11.1400,11.1800,10.9900,11.0600,5020206
2022-10-18,11.1600,11.2400,11.0700,11.2000,6356615
2022-10-17,11.0400,11.0800,10.9600,10.9900,7252429
2022-10-14,11.1400,11.2200,10.8400,10.8400,7450361
2022-10-13,10.5000,11.1600,10.4200,11.0600,12189136
2022-10-12,10.7700,10.7700,10.5700,10.5900,9806737
2022-10-11,10.8100,10.9200,10.6900,10.7800,5487718
2022-10-10,10.8600,10.9350,10.7950,10.8900,4984792
2022-10-07,10.9500,10.9500,10.7300,10.7800,5112948
2022-10-06,11.0600,11.1500,10.9500,11.0700,8388706
2022-10-05,11.1300,11.2000,11.0300,11.0900,7767751
2022-10-04,11.1100,11.3200,11.0400,11.2800,8022695
2022-10-03,10.8700,11.1150,10.8650,11.0300,10990484
2022-09-30,10.7900,10.9000,10.7200,10.7300,9823618
2022-09-29,10.8000,10.8020,10.6300,10.7500,5596223
2022-09-28,10.7300,10.9500,10.7100,10.9000,6586495
2022-09-27,10.9100,10.9600,10.5600,10.6700,7401616
2022-09-26,10.9800,11.0300,10.6900,10.8000,7375418
2022-09-23,11.0600,11.0600,10.8400,10.9800,7568415
2022-09-22,11.1900,11.2400,11.0750,11.1500,5558727
2022-09-21,11.5300,11.5600,11.2200,11.2200,6664194
2022-09-20,11.5900,11.6300,11.3200,11.4400,5382058
2022-09-19,11.6000,11.7700,11.5500,11.7600,6490918
2022-09-16,11.6800,11.6900,11.5100,11.6600,11978151
