,1. open,2. high,3. low,4. close,5. volume
2023-01-27,67.1400,67.1600,66.3900,66.8400,780851
2023-01-26,67.9400,67.9500,66.6600,67.1600,1414018
2023-01-25,67.0000,68.3500,66.4500,68.3500,847502
2023-01-24,66.5300,67.3400,66.0800,67.1600,1460932
2023-01-23,66.3100,67.0500,66.0400,66.5100,1000019
2023-01-20,65.8700,66.3500,65.0350,66.2500,8070995
2023-01-19,66.6900,66.9600,65.9000,65.9000,1286570
2023-01-18,67.7000,68.3200,66.6700,66.6900,1672283
2023-01-17,67.2800,68.8600,67.2800,68.0000,1993310
2023-01-13,65.3700,67.1100,65.1900,67.0700,1203338
2023-01-12,66.1200,66.2500,65.2100,65.6700,979872
2023-01-11,65.7800,66.3800,65.3000,66.1300,1061506
2023-01-10,64.8200,65.2800,64.5600,65.2600,1102794
2023-01-09,64.5000,66.2200,64.4700,64.6900,1258792
2023-01-06,64.5400,64.6950,64.0700,64.4100,1182495
2023-01-05,65.0900,65.5200,63.4300,63.7400,1399872
2023-01-04,65.1700,65.8000,64.8500,65.5300,1036311
2023-01-03,66.1900,66.1900,64.2400,64.9900,1036321
2022-12-30,65.8100,66.2100,65.0600,65.6800,672849
2022-12-29,65.9500,66.4300,65.5830,66.1500,602992
2022-12-28,66.5500,66.8800,65.5600,65.5700,598942
2022-12-27,66.4500,66.6800,65.8600,66.5800,567118
2022-12-23,66.5900,66.6900,66.0900,66.3500,601791
2022-12-22,66.5900,66.6500,65.6100,66.5200,729203
2022-12-21,65.4200,66.8300,65.3800,66.8200,1076052
2022-12-20,65.6000,65.6700,64.8500,65.1000,772388
2022-12-19,65.9000,66.4200,65.2600,65.4600,970305
2022-12-16,66.0800,66.5900,65.5900,65.8600,2080363
2022-12-15,68.2300,68.3300,66.7900,66.8600,910747
2022-12-14,69.1400,69.5650,68.2500,68.9400,839616
2022-12-13,70.0700,70.1400,68.5600,69.1900,1223910
2022-12-12,67.9400,68.8800,67.4600,68.8400,1206647
2022-12-09,67.7900,68.5700,67.5700,67.9200,1207425
2022-12-08,68.0600,68.5700,67.0000,68.1300,1168223
2022-12-07,73.7100,73.7400,67.5450,68.2700,1967921
2022-12-06,73.5800,74.5400,73.0100,73.6500,1748837
2022-12-05,73.6900,74.2500,73.3700,74.0200,1234126
2022-12-02,73.5100,74.7600,73.4150,74.5100,866486
2022-12-01,73.3100,74.2199,72.8500,74.0500,937959
2022-11-30,71.0300,73.0700,70.6400,73.0200,2452917
2022-11-29,71.6800,72.0150,71.1000,71.1200,997230
2022-11-28,72.7100,72.7100,71.7650,71.9300,1253811
2022-11-25,72.5000,72.7300,72.3300,72.7300,265029
2022-11-23,72.4900,72.9400,72.0556,72.5700,568475
2022-11-22,70.9500,72.4300,70.8200,72.2400,1062775
2022-11-21,70.0700,70.8500,70.0125,70.4700,801680
2022-11-18,69.8800,70.2450,69.2800,69.7900,1012273
2022-11-17,68.7400,69.1000,68.3100,68.8900,524817
2022-11-16,69.4200,70.2000,69.2000,69.5600,744007
2022-11-15,69.7000,70.2300,68.5050,69.2500,892355
2022-11-14,69.7200,70.1600,68.8700,68.8800,1009610
2022-11-11,70.0000,70.1500,68.9500,69.6400,1166871
2022-11-10,68.1900,69.9800,67.6876,69.8400,1242199
2022-11-09,66.9600,67.2800,66.1800,66.4400,865300
2022-11-08,67.4000,67.5500,66.5700,66.9900,647931
2022-11-07,67.4700,67.4700,66.6900,67.0900,612086
2022-11-04,66.8100,67.3950,65.9600,67.1500,710090
2022-11-03,65.8100,66.4200,65.4850,66.1600,632955
2022-11-02,67.4000,68.3900,66.4200,66.4400,872797
2022-11-01,68.4000,68.7900,67.1600,67.4400,722641
2022-10-31,67.6500,68.7100,67.6500,68.0000,1335275
2022-10-28,66.7900,68.4000,66.7900,68.1700,960330
2022-10-27,66.7700,67.2200,66.4500,66.5900,762308
2022-10-26,67.0100,67.7000,66.5000,66.6300,883053
2022-10-25,64.6900,66.8500,64.3900,66.8200,1276875
2022-10-24,64.3700,64.8400,63.7550,64.4700,903551
2022-10-21,63.4600,64.0900,63.0200,63.9000,768476
2022-10-20,64.2300,64.3400,63.2300,63.3700,932958
2022-10-19,65.6800,65.7600,64.0500,64.2600,1090858
2022-10-18,66.1300,66.3500,65.2850,65.7400,1150827
2022-10-17,64.5600,65.5200,64.4500,65.4100,1053649
2022-10-14,66.1600,66.3100,63.8500,63.8900,898139
2022-10-13,63.2100,65.6456,63.1900,65.4300,821514
2022-10-12,65.0200,65.1800,64.4600,64.4600,943147
2022-10-11,65.1000,65.4800,64.3800,64.6500,975969
2022-10-10,65.3200,65.4200,64.4700,65.0000,689699
2022-10-07,65.8100,65.9750,64.7800,65.1300,1045185
2022-10-06,67.4500,67.6400,66.1200,66.2000,754196
2022-10-05,67.8100,68.1100,66.8400,67.3900,970849
2022-10-04,68.6200,69.1100,67.8200,68.5100,1049805
2022-10-03,67.0200,68.3100,66.8200,68.2800,987529
2022-09-30,67.6000,67.6000,66.5700,66.5700,973006
2022-09-29,68.1200,68.1800,67.0500,67.4000,724515
2022-09-28,67.9800,68.3500,67.3800,68.1000,1269161
2022-09-27,69.5100,69.6500,67.4200,67.5000,801449
2022-09-26,68.5000,69.2100,68.1800,68.8500,796149
2022-09-23,69.4100,69.5300,67.8150,68.5600,954667
2022-09-22,70.7200,70.7700,69.8200,69.8300,869586
2022-09-21,71.3000,72.2000,70.8000,70.8000,709665
2022-09-20,70.8200,71.3600,70.4900,71.0100,1199313
2022-09-19,70.2400,71.2400,70.1200,71.2300,850630
2022-09-16,70.5000,71.0800,70.0300,70.5600,1914489
2022-09-15,71.8900,71.8900,70.3100,70.3300,1153271
2022-09-14,71.6700,72.6000,71.0400,72.0400,1751695
2022-09-13,72.7200,73.1100,71.1300,71.2400,1136645
2022-09-12,73.7000,74.0100,73.0700,73.4900,1408080
2022-09-09,73.3500,73.9500,72.9777,73.4800,892930
2022-09-08,72.2600,72.8800,71.6600,72.7700,1639815
2022-09-07,71.2800,72.8500,71.2600,72.7500,1486056
2022-09-06,71.9000,72.2200,70.7800,71.0300,1360527
2022-09-02,72.8600,73.5890,71.4500,71.6400,1244755
