,1. open,2. high,3. low,4. close,5. volume
2023-01-27,58.2700,58.3700,57.0700,57.6000,1495212
2023-01-26,58.8400,58.9300,57.6600,58.3600,1520331
2023-01-25,58.8700,59.6200,57.5700,58.9600,2003283
2023-01-24,61.7700,61.7700,57.5100,58.7100,2645044
2023-01-23,61.8500,62.2200,61.1300,61.9600,1589072
2023-01-20,60.5100,61.7990,60.1800,61.7200,1280688
2023-01-19,60.2500,60.5900,59.9500,60.2500,897183
2023-01-18,61.2600,61.4800,60.4800,60.6300,986244
2023-01-17,61.2700,61.7400,61.0800,61.1800,988004
2023-01-13,61.1500,61.4700,60.8450,61.2700,669894
2023-01-12,61.9500,62.2300,61.0250,61.6600,1197692
2023-01-11,60.1200,61.7300,60.0100,61.6900,1398596
2023-01-10,58.8000,59.8800,58.7650,59.8700,798361
2023-01-09,59.0000,59.7600,58.7800,58.8400,957699
2023-01-06,57.6200,59.1300,57.2600,58.8300,727867
2023-01-05,57.4000,57.7700,56.2700,57.0800,1299391
2023-01-04,57.1300,58.0200,56.9181,57.6000,1305785
2023-01-03,57.0600,57.4700,56.1050,56.6500,1162348
2022-12-30,57.1300,57.2050,56.3400,56.9700,665609
2022-12-29,56.9700,58.0400,56.6600,57.6500,728345
2022-12-28,57.5400,57.6700,56.5500,56.5700,677008
2022-12-27,57.0400,57.3800,56.6000,57.3600,784922
2022-12-23,56.6500,57.0000,56.1400,56.9400,766896
2022-12-22,56.7400,56.9400,55.7800,56.6500,1202409
2022-12-21,56.0900,57.0000,55.7600,56.9800,828125
2022-12-20,55.4200,56.0400,55.2800,55.5300,822263
2022-12-19,55.3000,56.1100,55.0400,55.4100,1012028
2022-12-16,55.8400,56.4200,55.0100,55.5000,2253022
2022-12-15,57.3600,57.5050,56.3000,56.5800,890600
2022-12-14,58.9100,59.7800,57.8200,58.1700,1022384
2022-12-13,59.4500,59.7200,58.3200,58.9100,1416059
2022-12-12,57.6000,58.0600,57.2600,58.0100,965460
2022-12-09,57.7500,58.1100,57.4800,57.5000,907633
2022-12-08,57.3700,58.2519,57.0100,57.7700,1211324
2022-12-07,58.0400,58.5500,57.1600,57.3200,1001405
2022-12-06,59.0300,59.0700,57.4800,57.9700,1027323
2022-12-05,59.0500,59.3100,58.6900,59.0500,1196534
2022-12-02,58.2500,59.6500,58.0700,59.5200,959909
2022-12-01,59.8400,59.9700,58.4250,58.9200,1160454
2022-11-30,56.9700,59.6900,56.8200,59.5900,2010731
2022-11-29,57.4900,58.1200,57.3101,57.3600,693775
2022-11-28,58.8000,59.3400,57.8500,57.8900,848639
2022-11-25,58.9500,59.5200,58.7900,59.2600,472452
2022-11-23,57.9500,58.8000,57.6700,58.6300,811168
2022-11-22,58.5000,58.6100,57.4910,57.9300,1173582
2022-11-21,57.1200,58.2200,57.0500,58.0000,904327
2022-11-18,57.2700,57.6300,56.8000,56.9400,1464914
2022-11-17,56.3800,56.9950,55.9500,56.3900,954282
2022-11-16,55.8000,56.9750,55.8000,56.8500,1106433
2022-11-15,56.4700,56.7700,55.2900,55.8000,1109680
2022-11-14,56.8500,57.3500,55.6300,55.6400,1429830
2022-11-11,59.1700,59.1700,55.9200,56.6700,1281182
2022-11-10,57.4600,58.7900,56.7000,58.6900,1353831
2022-11-09,56.2900,56.8600,55.7100,55.7300,577530
2022-11-08,56.2100,57.0800,55.8000,56.4500,955259
2022-11-07,55.9600,56.2100,55.2700,56.0200,1103901
2022-11-04,57.1600,57.1600,54.6100,55.7700,2228229
2022-11-03,56.7000,57.5800,56.4800,56.5400,1046598
2022-11-02,58.6800,58.8700,57.0300,57.1400,1415800
2022-11-01,59.0400,59.1800,58.3500,58.6500,1001207
2022-10-31,58.4300,59.2200,58.0700,58.7900,1933415
2022-10-28,56.9100,58.7100,56.7000,58.6400,1301759
2022-10-27,56.3100,57.1600,56.2700,56.7000,1613765
2022-10-26,55.0900,56.3488,53.8400,55.9500,3455718
2022-10-25,56.9800,60.4500,54.9650,55.1000,6772895
2022-10-24,62.1000,63.2900,62.1000,63.0800,1482474
2022-10-21,60.9100,61.7500,59.8200,61.5300,2300380
2022-10-20,62.7200,62.7200,60.6600,60.8900,1120439
2022-10-19,61.9800,62.9900,61.5350,62.9000,1598395
2022-10-18,62.7300,62.7500,61.5700,62.1600,1243608
2022-10-17,60.6000,62.0400,60.5800,61.2900,1787403
2022-10-14,63.0700,63.2600,59.3700,59.4800,1645695
2022-10-13,59.6200,62.9500,59.1950,62.5600,1723592
2022-10-12,61.8000,61.8000,60.5500,60.6800,1287038
2022-10-11,62.0000,62.7100,61.4400,61.9600,1286080
2022-10-10,61.5300,62.3000,61.3600,62.0700,807429
2022-10-07,62.1600,62.2900,60.8000,61.2200,1114565
2022-10-06,63.5800,63.7000,62.4200,62.6500,1049395
2022-10-05,62.7700,64.0300,62.6250,63.7100,914869
2022-10-04,62.5800,64.0200,62.5800,63.3000,1090282
2022-10-03,60.5500,62.4000,60.5500,62.0400,1643992
2022-09-30,60.8100,61.7000,60.2855,60.4800,1825141
2022-09-29,60.0400,61.0100,59.4200,60.8900,2034487
2022-09-28,60.0800,60.6700,59.4700,60.2400,1393234
2022-09-27,59.3400,60.5000,58.8800,59.4500,2008654
2022-09-26,58.6900,59.2400,58.0850,58.6200,1548951
2022-09-23,58.8400,59.5750,58.1600,58.9200,1469727
2022-09-22,60.2000,60.2050,58.7600,59.2400,1489193
2022-09-21,61.8400,62.6700,60.3600,60.4000,1039698
2022-09-20,61.2300,61.8200,60.6100,61.4400,1845649
2022-09-19,61.2700,61.8850,61.0750,61.7500,2024595
2022-09-16,61.0800,61.6800,60.6500,61.5400,3976754
2022-09-15,62.5800,62.6900,61.2800,61.4900,2335978
2022-09-14,62.9800,62.9900,62.0000,62.5200,2608958
2022-09-13,64.1200,64.2800,62.6200,62.7600,1078709
2022-09-12,65.5000,65.6200,64.9600,65.3000,941356
2022-09-09,65.5800,66.1900,65.3450,65.4100,941256
2022-09-08,64.8800,65.6100,64.6800,65.5500,620484
2022-09-07,63.6000,65.3800,63.5000,65.2600,890156
2022-09-06,62.9800,63.9000,62.9400,63.3600,816083
2022-09-02,64.2100,64.4700,62.5600,62.8900,758542
2022-09-01,63.0000,63.6900,62.4300,63.6600,984694
2022-08-31,64.2600,64.4950,63.0200,63.0400,1084481
2022-08-30,64.7400,64.7400,63.6400,63.8000,636113
2022-08-29,64.4400,65.0100,63.9000,64.3700,988519
2022-08-26,66.7100,66.7100,65.0600,65.0900,624950
2022-08-25,65.6200,66.6200,65.3100,66.5700,712839
2022-08-24,65.2400,65.6000,64.9900,65.3500,816857
2022-08-23,65.7200,65.9100,64.9600,65.0500,633306
2022-08-22,66.5800,66.9050,65.8300,65.9300,864137
2022-08-19,67.5600,67.6200,66.9500,67.2700,916036
2022-08-18,67.9300,68.0800,67.2100,67.8100,1668705
2022-08-17,67.5300,68.2700,67.3700,67.9400,614298
2022-08-16,67.6800,68.4300,67.6100,68.1400,713967
2022-08-15,67.2800,68.1250,66.9900,67.9900,784781
2022-08-12,67.0300,67.5900,66.8400,67.5500,1393144
2022-08-11,66.7100,67.3500,66.2600,66.5400,737523
2022-08-10,66.0000,66.5300,65.9400,66.3700,1240034
2022-08-09,65.0700,66.0100,64.9750,65.5200,800574
2022-08-08,65.1600,65.6900,64.9200,65.2800,692272
2022-08-05,63.8000,64.9400,63.6266,64.9000,563787
2022-08-04,64.1500,64.5700,63.9900,64.3100,1143506
2022-08-03,63.1700,64.4950,63.1450,64.2900,672556
2022-08-02,62.9900,63.6000,62.6900,62.8800,915006
2022-08-01,64.1100,64.4500,63.0600,63.1800,1040509
2022-07-29,64.5700,65.7000,64.4900,65.1000,1308687
2022-07-28,63.2200,64.4400,62.5300,64.3800,1275043
2022-07-27,62.0000,63.3700,62.0000,63.0800,1036150
2022-07-26,61.5000,62.5850,61.2300,61.6900,1347419
2022-07-25,62.1000,62.5900,61.7300,62.3900,1036901
2022-07-22,62.6100,62.8000,61.4100,61.9700,938148
2022-07-21,60.8600,62.3950,60.7300,62.3600,1010566
2022-07-20,60.8900,61.2600,60.4500,60.6800,1447198
2022-07-19,59.4200,60.9200,59.2500,60.8500,1463901
2022-07-18,59.3800,60.1800,58.6100,58.7600,1227998
2022-07-15,59.2600,59.6500,58.9900,59.3100,1065377
2022-07-14,57.9000,58.5200,57.4800,58.3000,792282
2022-07-13,58.2600,59.4300,58.1000,58.8900,853568
2022-07-12,59.3400,60.1850,58.6200,59.0400,1000189
2022-07-11,59.8800,60.1000,59.4807,59.6500,606346
2022-07-08,60.5000,60.6200,59.8800,60.0800,992408
2022-07-07,60.4300,60.7900,60.1600,60.4500,1238475
2022-07-06,60.0700,60.8200,59.5170,60.4200,1209398
2022-07-05,58.6600,59.9700,58.5100,59.9000,2447322
2022-07-01,58.3300,59.3400,58.1000,59.3300,1434760
2022-06-30,57.6600,58.5400,57.2800,58.3400,1606615
2022-06-29,57.7500,58.1600,57.3500,58.0000,1659998
2022-06-28,59.1000,59.9200,57.6810,57.7100,1061108
2022-06-27,59.0900,59.2600,58.3500,59.0200,1253491
2022-06-24,57.7200,59.1100,57.6000,59.0600,1377714
2022-06-23,55.8700,57.6400,55.6600,57.2900,1578937
2022-06-22,54.2400,56.3700,54.2400,55.4900,1342400
2022-06-21,54.0800,55.1000,54.0400,54.8700,1358748
2022-06-17,53.5000,54.1200,53.1000,53.5000,2002599
2022-06-16,53.8000,53.8800,52.9100,53.2800,1796292
2022-06-15,55.3400,55.8800,54.0200,54.9400,1086085
2022-06-14,54.4500,55.2100,54.0901,54.6600,1372214
2022-06-13,54.6000,55.3800,53.9200,54.4900,1227285
2022-06-10,55.6300,56.4800,55.2300,55.7500,1236856
2022-06-09,58.4700,58.8400,56.8100,56.8400,1058211
2022-06-08,58.7300,59.4100,58.3900,58.4400,924410
2022-06-07,58.3600,59.2700,58.0200,59.2500,978164
2022-06-06,59.3500,59.8400,58.7600,58.9200,1654424
2022-06-03,58.7500,59.3800,58.5700,58.7400,1041414
2022-06-02,58.0500,59.6600,57.6100,59.6100,1310617
2022-06-01,59.5200,59.8500,57.5000,58.0100,1359045
2022-05-31,59.4700,59.9100,58.4300,59.3700,8115632
2022-05-27,58.4000,59.9600,58.2900,59.9500,2452293
2022-05-26,56.8000,58.3700,56.3175,58.1000,2128307
2022-05-25,55.7800,56.4800,55.3200,56.1800,2386192
2022-05-24,55.6700,56.1600,54.6200,55.9600,1830279
2022-05-23,55.6300,56.1700,54.6500,55.9700,2291155
2022-05-20,55.2300,55.3700,53.4000,55.0000,5480465
2022-05-19,55.0300,55.3600,53.9091,54.7100,3081399
2022-05-18,57.6300,57.7800,55.1100,55.2600,1612888
2022-05-17,58.0500,58.3600,57.2350,58.2800,1836450
2022-05-16,57.7800,57.9800,57.0000,57.4600,1521414
2022-05-13,56.6000,58.2300,56.4100,57.9000,1822559
2022-05-12,55.8800,56.9100,55.2450,56.0600,2142838
2022-05-11,57.2800,57.9700,55.9800,56.0900,2079256
2022-05-10,57.1400,57.9900,56.2400,57.5500,2949254
2022-05-09,57.8600,57.9390,56.3500,56.5800,2037679
2022-05-06,58.4700,58.7900,57.5100,58.2400,1880368
2022-05-05,60.9200,61.3100,58.2500,58.9600,1538222
2022-05-04,59.9200,61.6400,58.8200,61.5100,2327677
2022-05-03,60.2700,61.2900,59.6900,59.9600,2099044
2022-05-02,62.5000,62.7000,58.5500,60.0800,3251930
2022-04-29,64.9600,65.0850,61.7600,61.9800,3801190
2022-04-28,65.3000,66.2000,64.3000,65.7700,1901351
2022-04-27,65.7000,66.1800,64.5150,64.7100,2062675
2022-04-26,68.7200,68.8500,65.6600,65.6800,2471449
2022-04-25,67.4600,68.6250,66.6150,68.4500,1734144
2022-04-22,70.4400,70.5600,67.6300,67.7300,1370646
2022-04-21,71.5900,72.0400,70.5250,70.6800,1645919
2022-04-20,70.3900,71.2700,70.2000,71.0600,1606793
2022-04-19,70.0500,70.4600,69.5500,70.1600,1553690
2022-04-18,70.5400,71.0850,69.5900,69.9200,1767387
2022-04-14,71.9800,72.3750,71.2000,71.2600,951736
2022-04-13,71.8500,72.1900,70.9300,71.8500,1163669
2022-04-12,72.6700,73.4500,71.6900,71.9400,945435
2022-04-11,72.8500,73.2400,71.8900,72.5100,1067792
2022-04-08,73.4100,73.8300,72.8558,72.9600,930509
2022-04-07,72.9200,73.8650,72.3500,73.4000,1489777
2022-04-06,71.8900,72.9900,71.6000,72.8800,1220644
2022-04-05,72.0400,73.6000,72.0100,72.3600,1057148
2022-04-04,72.4100,73.3350,72.0100,72.2000,1266287
2022-04-01,72.5500,73.5100,72.0300,72.5600,1785983
2022-03-31,72.8800,74.0000,72.2700,72.2700,2290238
2022-03-30,72.4300,72.7300,72.0100,72.7100,1109029
2022-03-29,72.7800,73.1700,71.8500,72.4800,1178716
2022-03-28,70.7500,72.2500,70.7000,72.1100,1687374
2022-03-25,69.2500,70.4000,69.0350,70.3700,1050305
2022-03-24,68.6800,69.4125,68.6100,68.9900,1575987
2022-03-23,68.7900,69.7400,68.6000,68.6800,1832759
2022-03-22,69.8400,69.8800,68.5700,69.2100,2219749
2022-03-21,69.6100,70.2300,68.5500,69.5100,1910660
2022-03-18,68.3400,69.8100,68.0599,69.5900,2862492
2022-03-17,66.7300,68.1700,66.7000,68.0300,1815323
2022-03-16,66.2300,67.5400,65.2550,66.8800,1883721
2022-03-15,64.6700,66.0600,64.2700,65.9800,2258081
2022-03-14,63.3300,64.1600,62.7400,63.5600,1117608
2022-03-11,63.6000,64.1850,62.6300,62.7100,1404033
2022-03-10,62.6100,63.9100,62.6100,63.1800,2235413
2022-03-09,62.4000,64.2300,61.6200,63.5400,2700388
2022-03-08,66.1500,66.3300,61.1200,61.1300,4909286
2022-03-07,67.8200,68.0100,66.0950,66.2300,1548883
2022-03-04,67.5900,68.5100,66.9800,68.4100,1074840
2022-03-03,68.1600,68.8700,67.4100,68.1100,1349598
2022-03-02,67.4900,68.1600,66.8099,67.7100,1426607
2022-03-01,67.4300,68.0000,66.4200,66.8700,2225093
2022-02-28,66.4600,67.8600,66.4000,67.6100,2465679
2022-02-25,66.2600,67.7500,66.1000,67.5900,2262671
2022-02-24,62.8700,66.4000,62.4100,66.1500,2108054
2022-02-23,65.9900,66.3000,64.1500,64.2300,1341299
2022-02-22,66.0900,66.5800,65.0900,65.6800,1105248
2022-02-18,65.6200,66.5600,65.3700,66.1400,1806691
2022-02-17,66.2400,66.5500,65.3282,65.6300,1597013
2022-02-16,66.1400,66.8100,65.7100,66.6100,974965
2022-02-15,66.8000,67.2500,66.1900,66.5800,1094663
2022-02-14,66.7300,67.4000,65.4700,65.9800,1618958
2022-02-11,69.0800,69.2700,66.6300,66.9100,1919936
2022-02-10,68.9800,70.5000,68.6800,69.1000,2943286
2022-02-09,68.6500,70.0400,68.6500,70.0200,1358587
2022-02-08,67.6800,68.2400,66.2000,68.0300,1464814
2022-02-07,67.5900,68.2600,67.5000,67.6000,1935071
2022-02-04,66.3900,68.1700,66.1700,67.5300,1216837
2022-02-03,67.4500,67.9900,66.4400,66.6400,1524827
2022-02-02,66.6600,68.5200,66.5800,68.0800,2066317
2022-02-01,66.2800,66.7900,65.1400,66.6700,2182413
2022-01-31,64.3600,66.5800,64.0500,66.2800,6616592
2022-01-28,62.0700,64.4200,61.4900,64.3800,2101325
2022-01-27,63.8200,64.1500,61.3000,61.9700,2698687
2022-01-26,64.9900,65.6200,62.5500,63.2500,2021014
2022-01-25,66.1000,67.3600,63.0200,64.4200,3269046
2022-01-24,62.7200,64.9450,61.9400,64.6100,2441575
2022-01-21,64.2900,64.6850,63.1100,63.1300,1799027
2022-01-20,65.2500,65.8900,64.0550,64.2400,1428849
2022-01-19,66.6000,66.6000,64.5600,64.6300,1553713
2022-01-18,66.3200,66.8100,65.5200,65.9600,1678362
2022-01-14,68.3000,68.5200,66.2900,67.0500,1948971
2022-01-13,69.5400,69.5400,68.3400,68.5800,1103005
2022-01-12,68.5900,69.6900,68.2300,69.4300,1430199
2022-01-11,68.2600,68.4600,67.0500,68.3500,1247017
2022-01-10,68.2100,68.5199,66.9100,68.0800,1263882
2022-01-07,68.4500,68.7700,67.5800,68.6000,2321362
2022-01-06,67.5800,68.8600,67.1500,68.5400,1207163
2022-01-05,69.2800,69.3700,67.4350,67.4500,1669327
2022-01-04,68.9100,69.4300,68.2500,69.1200,1600683
2022-01-03,70.3950,70.6000,68.3222,68.7900,1543509
2021-12-31,69.7100,70.7500,69.4800,70.2800,937449
2021-12-30,70.0000,70.1750,69.6500,69.8100,701176
2021-12-29,69.5000,70.1200,69.5000,69.8300,523394
2021-12-28,69.5700,70.0700,69.0800,69.3400,590773
2021-12-27,68.4100,69.4800,68.2300,69.4600,514434
2021-12-23,68.0200,68.3800,67.6300,68.0300,661524
2021-12-22,66.5000,67.6200,66.4800,67.5700,749285
2021-12-21,66.4400,67.1200,66.0400,66.4900,1090833
2021-12-20,65.2000,66.0800,64.4100,65.9500,1669511
2021-12-17,67.0600,67.1500,65.6200,65.8700,3168477
2021-12-16,68.0400,68.5300,66.8100,67.2400,1158227
2021-12-15,67.2700,68.1700,66.6100,68.0600,1586605
2021-12-14,66.8600,67.2400,65.8600,66.9600,1155883
2021-12-13,67.1200,67.4500,66.0700,66.9500,880293
2021-12-10,67.7100,67.7650,66.4300,67.2100,1136091
2021-12-09,67.3200,67.6100,66.9800,67.0600,680006
2021-12-08,67.3000,67.9100,66.6701,67.6800,1561242
2021-12-07,66.4200,67.1800,66.3000,67.0500,1715560
2021-12-06,65.7900,66.3900,65.4800,65.8900,1101798
2021-12-03,66.0800,66.2000,64.5700,65.2100,1446741
2021-12-02,64.0500,66.3150,63.8000,65.8700,1379040
2021-12-01,65.2400,66.0700,63.6800,63.6900,1804190
2021-11-30,65.0100,65.7900,64.2200,64.4100,2310712
2021-11-29,65.4700,65.7300,64.7800,65.4100,797608
2021-11-26,65.3300,65.6800,64.3600,64.7600,810389
2021-11-24,65.5200,66.4300,65.4800,66.3400,949269
2021-11-23,65.2700,65.8600,64.9700,65.8100,1016138
2021-11-22,64.9100,65.9700,64.5800,65.2800,1674481
2021-11-19,64.2500,65.0000,63.6500,64.5400,3439982
2021-11-18,64.8400,65.3200,64.1000,64.1400,888453
2021-11-17,64.8700,65.2000,64.2000,64.7200,939464
2021-11-16,64.4200,65.5580,64.4200,64.9300,1240756
2021-11-15,64.6100,65.0290,64.0300,64.3000,1020388
2021-11-12,64.1600,64.7200,63.8900,64.5200,1217895
2021-11-11,63.1000,63.9000,62.8500,63.6900,1003803
2021-11-10,62.9900,63.4800,62.8700,63.1900,1002557
2021-11-09,62.5800,63.3300,62.5100,63.0100,1286461
2021-11-08,62.3600,62.8300,61.7800,62.7100,1344566
2021-11-05,61.9300,62.2660,61.6100,61.9700,1438321
2021-11-04,61.9000,62.0950,61.2450,61.5300,1437603
2021-11-03,62.7800,63.5200,61.0100,61.8200,1679758
2021-11-02,61.8700,63.1200,61.8000,62.7300,1622234
2021-11-01,63.2800,63.3000,61.4000,61.8700,1518125
2021-10-29,62.9800,63.5200,62.6700,63.1100,1798028
2021-10-28,62.7800,63.4300,62.6600,62.9500,1055401
2021-10-27,64.2600,64.5200,62.2900,62.6500,1807614
2021-10-26,66.3500,66.9400,63.4500,63.9000,2303223
2021-10-25,66.4500,67.2400,66.2300,66.4600,1645907
2021-10-22,65.8100,66.6100,65.6400,66.4900,1188438
2021-10-21,64.8800,65.6600,64.7400,65.6300,1503996
2021-10-20,64.3300,64.7700,64.3300,64.5700,1619566
2021-10-19,64.4100,64.4100,63.6500,64.0900,1388796
2021-10-18,64.0500,64.5900,63.9050,64.0100,1308906
2021-10-15,63.5000,64.7200,63.3500,64.3200,1530685
2021-10-14,62.1100,63.1700,62.0150,63.1300,1208175
2021-10-13,60.6900,61.7050,60.4100,61.6300,1026858
2021-10-12,60.5200,61.3450,60.2300,60.7500,967765
2021-10-11,60.0900,60.8650,59.9400,60.2500,939168
2021-10-08,59.5000,60.0700,59.3250,59.9900,757674
2021-10-07,59.1800,59.8700,59.0500,59.4500,946576
2021-10-06,57.6500,58.8300,57.5300,58.8000,933497
2021-10-05,57.4800,58.4700,57.1800,58.1300,1602432
2021-10-04,57.6300,58.0700,56.7900,57.1800,1398049
2021-10-01,55.7000,57.9700,55.4650,57.6000,2024062
2021-09-30,56.4700,56.5800,55.4400,55.4500,1631704
2021-09-29,55.9000,56.6000,55.9000,56.2300,1093523
2021-09-28,57.2500,57.2500,55.5600,55.7900,1450104
2021-09-27,58.2200,58.2200,57.2700,57.3200,1044633
2021-09-24,57.5100,58.1400,57.4600,58.1000,812303
2021-09-23,57.7500,58.0100,57.1450,57.4800,1162463
2021-09-22,57.0600,57.5650,56.4050,57.4000,1474856
2021-09-21,56.6500,56.9750,56.2100,56.6300,1626816
2021-09-20,55.8800,56.6900,55.6200,56.3400,2672607
