,1. open,2. high,3. low,4. close,5. volume
2023-01-27,85.8800,86.6600,84.8400,86.5800,1455323
2023-01-26,83.6300,86.0700,83.2800,85.8800,2161319
2023-01-25,83.4200,83.5600,82.4900,83.4000,1535226
2023-01-24,84.0000,84.2300,82.9800,83.9100,1175996
2023-01-23,82.9300,84.2900,82.5580,84.1400,1596236
2023-01-20,81.1200,83.1000,80.4500,83.0000,1795068
2023-01-19,81.6000,81.7900,80.7550,80.8400,1635622
2023-01-18,83.3200,84.5100,81.7700,81.8500,2084850
2023-01-17,83.9300,85.0200,83.0000,83.3700,2763605
2023-01-13,83.8100,85.7050,83.4500,85.1600,1366233
2023-01-12,83.8800,84.8000,82.7700,84.3400,1496701
2023-01-11,83.0000,84.3750,82.4400,84.1100,1696257
2023-01-10,83.4000,83.4900,81.5800,83.0800,1376704
2023-01-09,83.8500,85.2100,83.5800,84.0000,1301581
2023-01-06,83.6200,85.1600,83.0800,83.5000,1914128
2023-01-05,82.9200,83.9200,81.8850,82.4100,1906378
2023-01-04,81.9500,83.7400,81.2900,83.4100,2612191
2023-01-03,86.0000,86.1200,80.7900,81.9100,4030562
2022-12-30,86.6000,86.6000,85.1200,86.2100,1343347
2022-12-29,87.1600,87.6899,86.2800,86.7700,870779
2022-12-28,87.9500,88.3400,86.4200,86.6100,751999
2022-12-27,88.4400,88.9100,87.2700,87.6400,634390
2022-12-23,87.5200,88.2300,87.1300,88.0400,600675
2022-12-22,89.1300,89.3750,86.5300,87.3300,1548323
2022-12-21,87.9900,90.1700,86.7100,89.6500,1409511
2022-12-20,88.0000,88.1200,87.1250,87.5600,1306643
2022-12-19,88.3800,88.6700,87.0000,87.7300,1238141
2022-12-16,88.1500,88.6000,85.9300,88.2000,3911692
2022-12-15,90.8100,90.8500,89.4300,89.7000,2245092
2022-12-14,91.5400,92.2900,89.8800,90.8500,2561578
2022-12-13,91.9800,92.7100,90.3900,90.8400,1629858
2022-12-12,89.9800,90.9200,89.0700,90.8800,1554061
2022-12-09,91.3600,91.8600,89.6900,89.7200,1384640
2022-12-08,92.3300,92.9850,90.9300,91.4100,1002449
2022-12-07,90.8800,93.2000,90.5900,91.9700,1237198
2022-12-06,89.8600,90.8800,89.8000,90.7800,1237536
2022-12-05,91.0100,91.6100,89.8000,90.0600,2397070
2022-12-02,92.9900,93.4900,91.0400,92.0400,1848756
2022-12-01,97.0000,97.7800,93.8800,94.4700,1748575
2022-11-30,94.1400,96.9400,93.7600,96.1200,3361825
2022-11-29,94.6900,95.1100,93.3200,94.4300,1436207
2022-11-28,96.0700,96.5900,94.3800,94.8100,1590100
2022-11-25,96.6000,97.4500,96.0000,97.1600,631686
2022-11-23,96.0300,97.8900,94.4150,96.6200,1135868
2022-11-22,94.5600,96.3600,94.0900,96.2700,1567699
2022-11-21,94.0700,94.2200,92.7600,93.3900,1744771
2022-11-18,90.1200,93.4400,90.0263,93.3000,2515674
2022-11-17,90.4300,91.4600,88.8700,90.0500,1792525
2022-11-16,94.3100,94.5200,91.2800,91.6800,1384564
2022-11-15,94.5100,94.7500,92.6500,93.5000,2537244
2022-11-14,92.0000,94.7200,92.0000,93.9200,1997043
2022-11-11,95.2900,95.8700,91.6050,92.3100,3133227
2022-11-10,90.5000,95.8400,88.2000,95.1400,4885662
2022-11-09,87.0000,89.9200,86.3300,87.3500,2241529
2022-11-08,89.5600,93.1050,86.0800,87.5400,4345520
2022-11-07,95.0600,95.0600,92.9600,93.5000,2120385
2022-11-04,95.0900,96.2100,92.7450,94.3200,1974363
2022-11-03,92.1600,95.4500,92.1600,94.4100,1484563
2022-11-02,94.6800,96.2900,92.9800,93.0900,1966171
2022-11-01,95.2400,96.2400,94.0050,95.5200,1467642
2022-10-31,94.1400,95.4200,93.3750,94.5400,2276566
2022-10-28,92.8900,95.2524,91.8200,93.7500,1958031
2022-10-27,89.8050,93.1400,89.8050,93.0400,3345777
2022-10-26,89.6800,89.6800,87.3300,88.7800,1370642
2022-10-25,87.5000,88.5600,86.7500,88.1500,1647151
2022-10-24,87.5680,87.7100,85.5700,87.5800,1325229
2022-10-21,84.7000,87.4600,83.6600,87.2800,1749273
2022-10-20,86.3699,86.7300,84.1800,84.5600,2076533
2022-10-19,85.0900,86.2300,84.5600,85.6900,1325774
2022-10-18,86.5000,87.4000,84.5100,86.5100,1598879
2022-10-17,83.2200,86.2900,83.1400,85.1900,1678913
2022-10-14,84.2100,84.7600,80.7100,81.2600,1693599
2022-10-13,80.5600,84.3200,79.3000,83.8200,2746499
2022-10-12,83.1100,83.5900,81.6800,82.1600,1878701
2022-10-11,84.4100,85.3200,82.5500,82.8800,1534413
2022-10-10,84.9500,85.6300,83.9300,84.7200,982937
2022-10-07,85.7100,85.7500,83.3700,84.3900,2017173
2022-10-06,88.2300,89.9094,85.9500,86.2800,1677380
2022-10-05,87.6800,89.4700,85.5900,88.1700,1766792
2022-10-04,88.3000,89.4650,87.1600,89.3400,1679092
2022-10-03,85.0300,86.9100,83.8700,86.5900,2026674
2022-09-30,83.2800,84.4500,82.2200,83.1900,3267820
2022-09-29,85.0500,86.2100,82.0700,83.0400,1823692
2022-09-28,84.1100,85.5300,83.1800,85.0200,1564312
2022-09-27,83.6900,85.4150,83.0800,83.9700,1777934
2022-09-26,83.6700,84.9500,81.6500,82.9200,1973279
2022-09-23,83.7850,84.3400,82.1550,83.8500,2678980
2022-09-22,88.0000,88.0000,84.6300,85.3800,1854174
2022-09-21,88.7900,90.0900,87.2300,87.2800,2155144
2022-09-20,88.4100,90.1800,87.5600,87.7500,4626023
2022-09-19,85.4000,89.7000,85.2500,89.3600,4407538
2022-09-16,86.6100,86.8600,84.8931,85.5700,6245681
2022-09-15,87.8800,88.2600,86.3100,86.8000,3631889
2022-09-14,86.3800,88.5300,86.2600,88.0500,3600348
2022-09-13,86.9000,88.0300,85.7700,86.3800,1974283
2022-09-12,88.5600,88.6600,87.4600,88.1300,1733754
2022-09-09,86.5000,87.8100,85.4350,87.5100,1906419
2022-09-08,82.8700,85.9500,82.8700,85.7900,2184477
2022-09-07,82.6000,84.4599,81.6841,82.9000,1759098
2022-09-06,81.7000,82.7000,81.0800,82.2600,2010090
2022-09-02,82.5800,83.6900,80.9600,81.0700,2232371
2022-09-01,81.5900,82.9399,81.1600,82.5200,2421083
2022-08-31,80.2600,82.3900,79.5700,81.5900,3016477
2022-08-30,81.5800,81.5800,78.9800,79.6900,1802782
2022-08-29,79.6500,81.9900,79.1500,81.0000,1179059
2022-08-26,82.7400,83.2300,80.6000,80.8300,1641112
2022-08-25,80.0100,82.8300,79.7650,82.7400,1551725
2022-08-24,79.6600,80.8153,79.3100,80.3700,1430207
2022-08-23,80.2700,80.8900,79.6000,79.7500,1065822
2022-08-22,80.7500,80.7500,79.5200,79.6500,1724562
2022-08-19,80.3100,81.2800,79.8500,80.8400,1703994
2022-08-18,79.4200,82.1450,79.4200,81.6000,1939681
2022-08-17,80.4200,81.4500,79.1000,79.7000,2502222
2022-08-16,81.1000,82.1100,80.9000,81.4000,1878803
2022-08-15,80.2500,82.4300,80.2500,81.2000,1980089
2022-08-12,79.6500,81.6800,79.0400,81.5000,2170897
2022-08-11,77.1200,80.0600,76.6800,78.8300,2540384
2022-08-10,76.0500,77.2000,75.5000,77.1200,2134576
2022-08-09,75.7500,76.7700,75.0200,75.7200,2945671
2022-08-08,77.0100,77.6300,74.9700,75.8900,3183607
2022-08-05,69.7600,75.9800,69.7500,74.3000,4216830
2022-08-04,65.5100,68.3700,65.5100,67.4600,2425911
2022-08-03,66.6300,67.3800,65.5400,67.1700,2286658
2022-08-02,65.3000,66.7900,64.9900,65.8400,1722917
2022-08-01,66.0500,66.6000,64.1300,65.3000,2735223
2022-07-29,63.8500,66.6000,63.6400,66.1000,3895292
2022-07-28,62.5800,65.9400,62.1900,64.5900,8460626
2022-07-27,55.0300,55.7600,54.1800,55.5300,1557154
2022-07-26,55.4000,56.6700,54.8900,55.5000,1993560
2022-07-25,53.9800,55.0600,53.3700,54.9600,1847735
2022-07-22,54.7900,55.6000,53.4200,54.0000,1503093
2022-07-21,53.8600,54.8550,53.3100,54.1600,1816760
2022-07-20,55.1600,55.3450,53.3700,54.0700,2803622
2022-07-19,55.4400,55.5000,54.1700,55.0000,2326169
2022-07-18,56.3300,56.6700,54.5900,54.8100,2583186
2022-07-15,54.9600,56.6460,52.6400,55.6600,5186185
2022-07-14,58.2900,58.9700,57.0900,57.9200,2608750
2022-07-13,58.1500,60.2800,58.1500,59.8200,1577216
2022-07-12,59.4100,61.1100,58.9200,59.2300,1808377
2022-07-11,59.6500,60.1400,58.4100,59.8400,1774827
2022-07-08,58.9400,59.8100,57.4200,59.6500,2096172
2022-07-07,57.5700,59.9000,57.5700,59.1100,1872094
2022-07-06,55.1300,57.2200,54.5600,56.7600,1716553
2022-07-05,57.1500,57.3700,52.8900,54.9400,2696679
2022-07-01,56.7200,58.0900,56.6200,57.6000,1531893
2022-06-30,56.9000,58.8340,56.5500,57.2600,2424421
2022-06-29,57.9600,58.1550,56.3200,57.3100,1412233
2022-06-28,59.8400,60.9100,57.8300,58.0800,1401743
2022-06-27,59.1200,59.8710,58.4200,59.4200,1718870
2022-06-24,58.8400,60.3400,57.9800,59.2800,6473798
2022-06-23,59.8800,61.2300,57.7900,58.6500,2667573
2022-06-22,59.2800,60.4300,58.8650,59.2100,3233385
2022-06-21,58.1000,60.9400,58.1000,60.3800,4363642
2022-06-17,58.5500,59.5000,55.4850,58.1000,6478900
2022-06-16,56.3300,58.3500,56.0800,58.2600,4837021
2022-06-15,55.7000,59.5550,55.6800,58.2000,3891756
2022-06-14,56.0300,56.4800,53.3200,54.4400,2330437
2022-06-13,58.2700,58.9900,55.2000,55.4800,2113210
2022-06-10,59.8500,61.0600,59.2100,59.7900,1540816
2022-06-09,64.2600,64.4600,61.1600,61.2100,1811196
2022-06-08,66.4400,66.4700,63.1300,64.7700,1922248
2022-06-07,65.5200,66.7000,65.1612,66.5500,2721656
2022-06-06,65.5700,66.9400,65.3850,66.3900,2033233
2022-06-03,63.2600,65.8200,63.1200,65.1700,1793454
2022-06-02,63.6900,64.1200,61.9800,63.7500,1758533
2022-06-01,62.3800,63.9200,62.1500,63.6500,2008631
2022-05-31,65.5400,66.3900,61.3700,62.0800,7389274
2022-05-27,62.4000,66.6400,62.0000,66.6000,2793825
2022-05-26,59.1800,63.0427,59.1700,62.4700,3260200
2022-05-25,56.8800,59.3400,56.8800,59.1700,1974650
2022-05-24,56.5500,57.3600,55.0700,56.7800,1682344
2022-05-23,57.5000,57.5900,55.8600,56.6000,1581852
2022-05-20,57.5100,58.9400,55.4900,56.6500,2266207
2022-05-19,57.1300,57.5100,54.9200,57.2300,2181111
2022-05-18,59.4200,60.2550,56.9300,57.2800,4609064
2022-05-17,56.8500,59.4800,55.9800,59.3200,2215081
2022-05-16,54.4200,57.1300,54.3400,56.5900,1631977
2022-05-13,54.5300,55.9005,53.6300,54.6100,2317613
2022-05-12,57.3100,57.8500,53.0800,53.4700,3785644
2022-05-11,57.1100,59.0300,56.5300,57.3700,1877078
2022-05-10,58.2500,59.8700,56.7350,57.0400,2156191
2022-05-09,60.5700,60.5700,56.5700,57.6200,2193713
2022-05-06,60.2600,61.2300,58.7000,60.2700,2861013
2022-05-05,61.2200,61.9900,59.1700,60.1600,1946942
2022-05-04,60.1200,62.2950,59.8432,61.8100,2628874
2022-05-03,58.4500,60.4500,58.4500,59.7000,2224296
2022-05-02,59.3000,59.9900,56.9000,58.2000,2488175
2022-04-29,61.5000,61.8600,59.1500,59.2100,2578438
2022-04-28,60.2200,61.3500,58.8000,61.3100,3355737
2022-04-27,60.0100,61.1900,59.7300,60.0900,1991612
2022-04-26,61.8000,62.2200,59.9100,59.9500,2135839
2022-04-25,62.3600,62.8400,59.4400,62.2700,2261675
2022-04-22,62.5000,64.4558,62.2900,62.4300,2030484
2022-04-21,65.0000,66.3000,62.1500,62.6700,2493684
2022-04-20,67.8200,68.6800,65.0650,65.4100,2181442
2022-04-19,63.6300,66.8900,62.8800,66.7100,2078885
2022-04-18,62.2900,64.1700,62.2900,63.3100,1216775
2022-04-14,64.1200,64.7200,62.1810,62.5500,1860085
2022-04-13,62.0400,64.5500,61.7500,64.2000,3405742
2022-04-12,61.0000,63.2100,60.8800,61.8700,2552972
2022-04-11,64.1800,64.6615,60.4100,60.6800,3487831
2022-04-08,61.2200,64.9000,60.9000,64.0200,4762331
2022-04-07,59.7600,61.0700,59.3500,60.9100,3925803
2022-04-06,58.9000,60.0800,58.3700,59.6000,2559445
2022-04-05,58.6500,60.3200,58.4500,59.0000,2142483
2022-04-04,58.3600,58.7000,57.5300,58.3800,1885309
2022-04-01,56.3600,58.3000,55.7000,58.0200,2156475
2022-03-31,58.3400,59.0800,55.7800,56.2500,3817665
2022-03-30,56.1700,57.7900,55.7000,57.5000,1934119
2022-03-29,57.0000,57.3900,54.6300,56.3300,2201291
2022-03-28,54.3800,56.8500,54.0500,56.7800,3127207
2022-03-25,52.2400,53.8200,52.0300,53.8000,2408499
2022-03-24,51.1800,52.5800,50.7671,52.4100,2335188
2022-03-23,50.7000,51.7700,50.7000,50.9900,2396297
2022-03-22,50.3500,52.0500,50.0100,51.1400,3822194
2022-03-21,48.9100,49.4300,48.6000,49.2200,2390384
2022-03-18,50.6500,51.4100,48.8800,49.0100,9292034
2022-03-17,51.8800,52.7100,50.9100,50.9900,2244591
2022-03-16,51.7100,52.4000,50.3500,51.7700,2989796
2022-03-15,51.3400,51.5900,49.9000,51.2900,2117498
2022-03-14,51.8600,51.8600,48.5900,50.9500,2916589
2022-03-11,51.4200,51.8400,48.2900,49.3200,3034078
2022-03-10,50.5700,51.6400,49.2700,51.3200,2692839
2022-03-09,52.4400,53.6800,50.5900,51.3300,3050627
