,1. open,2. high,3. low,4. close,5. volume
2023-01-27,119.8200,122.2200,119.6950,121.6500,639414
2023-01-26,119.9000,120.4800,118.9700,119.8500,623163
2023-01-25,117.6600,119.3300,117.1600,119.2700,1782515
2023-01-24,115.1800,118.1200,114.1100,118.0300,898745
2023-01-23,114.6000,115.6000,113.7283,114.8700,506014
2023-01-20,114.6600,114.9400,113.0600,114.6800,872772
2023-01-19,114.7400,116.5400,114.3800,114.5400,576357
2023-01-18,117.9200,118.0534,115.1800,115.2600,549063
2023-01-17,118.2700,119.5500,117.6000,117.7400,706457
2023-01-13,117.2000,118.4199,116.4900,117.9500,795260
2023-01-12,118.8600,119.6000,117.6150,118.3300,804532
2023-01-11,114.4100,118.3700,114.0900,118.2800,856586
2023-01-10,113.9600,113.9600,112.5000,113.3900,613174
2023-01-09,113.4600,114.5600,112.6900,113.0100,1114778
2023-01-06,109.9900,114.3500,109.9200,114.0000,578711
2023-01-05,111.8600,112.2000,108.6000,109.6700,935706
2023-01-04,111.6100,113.3800,111.2700,112.7500,2109475
2023-01-03,112.6200,113.2100,109.9750,110.6800,556583
2022-12-30,112.3400,112.9600,110.5700,111.8800,555484
2022-12-29,110.5700,113.5300,109.9500,112.9400,946311
2022-12-28,111.8600,112.2150,109.7900,109.8600,438357
2022-12-27,111.3600,111.6606,110.2450,111.5100,311070
2022-12-23,110.1200,111.3100,109.4700,111.3100,472118
2022-12-22,109.8100,110.5350,108.5933,110.1600,713216
2022-12-21,110.3500,111.5200,110.0050,110.5200,577980
2022-12-20,109.5600,110.7400,108.7100,109.8000,917990
2022-12-19,111.9800,111.9800,109.7300,110.3900,669660
2022-12-16,113.1200,113.1200,110.4700,112.2000,1596648
2022-12-15,115.8300,116.5900,113.8700,114.7300,1445770
2022-12-14,118.2300,119.7500,116.2700,116.7800,820061
2022-12-13,119.6800,120.0000,116.4000,118.4400,892861
2022-12-12,115.7900,116.3600,113.8000,116.2900,703565
2022-12-09,116.1500,117.2250,115.5750,116.0000,799104
2022-12-08,114.5000,116.7100,114.3700,116.2100,990751
2022-12-07,114.4400,115.4400,113.5800,114.2800,1205598
2022-12-06,116.9900,117.0550,113.9200,114.6300,987186
2022-12-05,118.7700,118.7700,115.7500,116.3900,1164876
2022-12-02,118.1600,120.4050,117.8600,119.8800,619382
2022-12-01,121.3200,122.2700,118.2200,119.4900,568432
2022-11-30,116.8500,120.3600,115.9500,120.3300,1105313
2022-11-29,115.2000,117.8950,114.6700,117.7500,889703
2022-11-28,117.5500,117.9000,114.9400,115.2100,1293044
2022-11-25,117.5100,118.3450,117.0950,118.1300,302532
2022-11-23,116.5900,117.4400,115.8200,117.3800,598217
2022-11-22,116.6100,117.1100,115.7700,116.8300,633523
2022-11-21,114.2800,116.4500,114.0400,116.2500,880357
2022-11-18,114.9200,115.6500,113.8200,114.8200,769759
2022-11-17,113.0600,114.5200,112.6000,113.5200,1213919
2022-11-16,114.3100,116.0800,113.8300,114.3100,1650048
2022-11-15,113.5600,114.9800,113.0000,114.6300,954627
2022-11-14,114.9000,115.5700,111.8200,111.8700,868284
2022-11-11,116.2000,117.0000,114.4200,115.2300,725823
2022-11-10,114.1400,116.5600,113.2500,116.2000,736059
2022-11-09,109.6100,110.6500,108.8250,109.3700,575448
2022-11-08,110.2500,110.7600,108.9000,109.8500,596489
2022-11-07,112.1100,112.5100,108.4700,109.6400,984601
2022-11-04,110.7600,111.8800,107.9000,111.5000,1211169
2022-11-03,110.7500,111.5700,108.0400,110.0800,1252238
2022-11-02,114.9000,115.9200,111.6500,111.8900,815294
2022-11-01,116.6700,116.6700,114.8300,115.4000,664893
2022-10-31,114.3800,116.1600,113.4100,115.5500,1085432
2022-10-28,110.9700,115.3600,110.7500,114.9800,1126612
2022-10-27,115.7000,117.2900,114.4400,114.9000,831786
2022-10-26,116.7400,117.4500,114.3650,115.0600,914228
2022-10-25,113.6500,117.4650,112.9500,116.7700,2174386
2022-10-24,115.1600,115.2900,112.4600,113.0000,750551
2022-10-21,112.6100,113.9300,110.7700,113.8900,698853
2022-10-20,113.3300,114.4200,111.6000,112.2700,766850
2022-10-19,114.5400,114.7375,111.7500,112.7300,521328
2022-10-18,116.7800,118.4600,115.0000,115.4600,1141146
2022-10-17,112.9800,115.7600,112.3600,115.4100,721528
2022-10-14,115.7200,115.9300,110.4500,110.6800,608665
2022-10-13,110.5000,114.8500,109.6600,114.4100,560211
2022-10-12,112.9800,112.9800,110.8400,112.1400,501029
2022-10-11,111.6700,114.0400,111.2400,113.4600,731945
2022-10-10,113.5000,114.2400,111.6600,111.9800,2083370
2022-10-07,115.1900,115.6500,112.4000,113.0000,816688
2022-10-06,119.1700,119.9900,116.2742,116.3700,817989
2022-10-05,121.5600,122.1500,118.5200,119.4200,723639
2022-10-04,122.8400,124.3500,122.0800,123.1400,925086
2022-10-03,121.2900,123.4300,120.0100,122.1200,1133422
2022-09-30,119.5000,120.1200,118.3300,119.4500,1310666
2022-09-29,118.7500,119.3900,116.7700,118.2200,736328
2022-09-28,118.8300,120.8200,117.2200,120.3600,943203
2022-09-27,119.5600,120.4900,117.0400,117.3200,761722
2022-09-26,121.2700,121.4450,118.0600,118.7200,1498751
2022-09-23,121.9300,125.0300,121.1800,121.9500,1035589
2022-09-22,122.2900,123.3600,120.9200,122.7700,884581
2022-09-21,124.7600,125.8650,122.4500,122.4500,670247
2022-09-20,126.8400,126.9890,122.8000,124.1100,824486
2022-09-19,127.5200,128.4900,125.6400,127.8900,775187
2022-09-16,129.4600,129.4600,127.0850,129.0000,1160300
2022-09-15,130.8700,131.6700,128.9900,129.1300,757929
2022-09-14,131.6900,132.2950,129.1200,130.7600,911233
2022-09-13,132.8100,133.8200,131.5700,132.3200,763715
2022-09-12,135.2000,136.0200,134.4850,135.0600,503567
2022-09-09,133.4500,135.5200,132.5000,134.8400,729676
2022-09-08,130.6300,133.7600,130.3400,133.1400,993913
2022-09-07,130.2300,130.9500,129.3525,130.9300,690559
2022-09-06,127.3400,130.4700,127.3400,130.0900,1320917
2022-09-02,129.8900,130.6600,126.4100,126.6900,856264
2022-09-01,127.8700,129.2300,125.8000,129.1000,962800
2022-08-31,130.7200,131.2200,128.0200,128.5100,1339090
2022-08-30,132.6500,133.0300,130.0000,130.3900,952709
2022-08-29,134.3700,134.3700,132.4600,132.4900,511695
2022-08-26,138.1900,138.1900,134.6600,134.7000,696191
2022-08-25,137.5700,138.2200,136.2700,138.1900,709121
2022-08-24,136.0800,137.2700,135.6450,136.7200,638622
2022-08-23,138.6200,138.7900,134.8050,136.0400,578699
2022-08-22,141.3200,141.5600,139.1000,139.2000,527937
2022-08-19,143.4200,143.5500,141.9900,142.3000,688490
2022-08-18,146.2600,147.1600,143.6900,143.8200,671231
2022-08-17,145.9100,146.8800,145.0200,146.5600,595869
2022-08-16,145.6500,147.7150,145.5600,146.7100,457302
2022-08-15,145.8300,146.5800,144.9000,146.2300,426634
2022-08-12,144.2000,145.7300,144.2000,145.7200,458540
2022-08-11,143.7800,145.1900,143.1550,143.3600,528007
2022-08-10,142.4100,143.5200,141.5200,143.3500,508712
2022-08-09,138.4000,141.2650,137.9400,140.9100,828165
2022-08-08,138.3600,139.8950,137.6300,137.9900,886136
2022-08-05,136.2800,137.4300,135.0900,137.2800,765655
2022-08-04,136.2200,137.9100,133.7350,137.1100,992833
2022-08-03,137.2400,138.4000,135.9950,136.3000,1400424
2022-08-02,139.0800,139.7800,136.9150,137.0700,1063493
2022-08-01,140.4900,140.8100,137.7200,138.9200,1075516
2022-07-29,140.1500,142.2250,138.7100,141.1000,1062809
2022-07-28,136.8600,141.6300,136.6800,141.3300,862715
2022-07-27,134.9600,135.9500,134.0850,135.8100,742854
2022-07-26,135.9000,136.9100,134.5600,135.0000,540454
