,1. open,2. high,3. low,4. close,5. volume
2023-01-27,28.3700,28.7555,28.2422,28.2700,1118563
2023-01-26,28.1400,28.5900,27.8500,28.5600,878494
2023-01-25,27.6900,27.9700,27.6000,27.8800,1085411
2023-01-24,28.7600,28.9300,28.0000,28.0100,1513251
2023-01-23,28.5100,29.4250,28.3900,29.1400,1409850
2023-01-20,28.3800,28.7500,28.2000,28.4000,1149829
2023-01-19,28.1400,28.7400,28.0500,28.1700,1509540
2023-01-18,29.1700,29.7300,28.9400,28.9600,1797318
2023-01-17,28.8200,29.2950,28.6600,29.1000,1176807
2023-01-13,28.5800,28.8500,28.3700,28.8100,960444
2023-01-12,28.4800,28.9100,28.4200,28.8200,1056028
2023-01-11,28.4600,28.4800,27.7600,28.3000,1608420
2023-01-10,28.2200,28.5500,28.1400,28.4800,1035596
2023-01-09,28.3700,28.7450,28.2100,28.2700,1552548
2023-01-06,27.8800,28.4000,27.5850,28.1700,1492292
2023-01-05,27.8800,28.1300,27.5750,27.6600,1743011
2023-01-04,28.0500,28.3700,27.6410,28.1800,1471156
2023-01-03,26.7200,27.7500,26.6500,27.6700,1934568
2022-12-30,26.4500,26.5800,26.0300,26.5000,1527008
2022-12-29,26.1200,26.9000,25.9600,26.7400,1361848
2022-12-28,26.6100,26.8400,25.9500,25.9800,899259
2022-12-27,26.5200,26.7850,26.4000,26.6900,702209
2022-12-23,26.2300,26.5900,26.1400,26.5300,955142
2022-12-22,26.5000,26.5000,25.7500,26.2200,1022997
2022-12-21,26.4200,26.8400,26.3900,26.7900,1060830
2022-12-20,25.8900,26.4100,25.8300,26.1600,1140974
2022-12-19,26.3000,26.4600,25.8500,25.9700,1824694
2022-12-16,26.7500,26.9350,26.0110,26.3000,4279982
2022-12-15,27.1300,27.2400,26.5500,27.0000,2041602
2022-12-14,27.2000,27.6400,26.9750,27.2900,1264453
2022-12-13,28.1500,28.3900,27.0550,27.2500,1790352
2022-12-12,26.2100,27.3000,26.1500,27.3000,1797918
2022-12-09,26.4400,26.8600,26.2850,26.3200,1275439
2022-12-08,26.8400,26.9699,26.5500,26.7300,1570189
2022-12-07,27.6500,27.6500,26.5850,26.6200,1600455
2022-12-06,27.1600,27.8300,27.0100,27.8100,2178754
2022-12-05,28.5300,28.6900,27.2400,27.3700,1761768
2022-12-02,29.0200,29.3000,28.8000,28.8600,1446267
2022-12-01,29.8000,30.2500,29.3900,29.4400,1824839
2022-11-30,28.9900,29.9000,28.4900,29.6700,2020882
2022-11-29,29.0600,29.5900,28.9901,29.1100,900976
2022-11-28,29.4000,29.7400,28.7850,28.9500,1398425
2022-11-25,29.7400,29.9000,29.6100,29.6800,514644
2022-11-23,29.4900,29.7800,29.3750,29.6100,847026
2022-11-22,29.0100,29.5400,28.7000,29.5400,1371987
2022-11-21,28.3200,28.7800,28.1700,28.6800,2459628
2022-11-18,28.7200,28.7700,28.1300,28.5100,1478042
2022-11-17,27.8500,28.4700,27.7000,28.3600,1276467
2022-11-16,28.4100,28.8800,28.2900,28.4500,1186898
2022-11-15,29.4800,29.5100,28.5550,28.6100,1972641
2022-11-14,29.2000,29.5600,29.0100,29.0700,1762923
2022-11-11,29.2700,29.7200,29.0000,29.4600,1511453
2022-11-10,29.2400,29.3600,28.3400,29.0100,2224493
2022-11-09,28.0600,28.5100,27.8500,27.9900,1321461
2022-11-08,29.0000,29.2150,28.1600,28.4400,1819891
2022-11-07,27.7800,29.0300,27.6500,29.0000,2449828
2022-11-04,27.0500,28.5800,26.2900,27.6500,4042604
2022-11-03,27.6600,27.6600,25.5600,25.7100,4244764
2022-11-02,28.7600,29.1100,28.1300,28.1600,3776691
2022-11-01,29.2100,29.4200,28.6900,28.8200,2964378
2022-10-31,29.7400,29.7400,28.5625,28.7500,2761180
2022-10-28,28.8100,29.9750,28.8100,29.8900,2216470
2022-10-27,29.2200,29.5800,28.5700,28.7100,1525809
2022-10-26,29.2000,29.7400,28.8700,29.0500,2059303
2022-10-25,28.8800,29.2700,28.6800,28.9800,2084057
2022-10-24,28.9600,29.2800,28.2700,28.7800,4299063
2022-10-21,28.1800,29.0900,28.1600,28.9700,2559456
2022-10-20,28.2900,29.2800,28.0700,28.3500,1921020
2022-10-19,27.8900,28.4200,27.6250,28.1400,2313993
2022-10-18,27.8000,28.1900,27.2300,28.0400,2111843
2022-10-17,27.7100,28.1300,26.9750,27.1100,2232962
2022-10-14,27.5600,27.8700,26.9800,27.1300,1391934
2022-10-13,26.1800,27.6400,25.8900,27.4600,2206723
2022-10-12,27.0800,27.3800,26.7000,26.7000,1946482
2022-10-11,26.6300,27.4200,26.0400,26.8800,2304899
2022-10-10,26.6600,26.9100,25.9800,26.7800,3402508
2022-10-07,26.5100,26.6300,25.9700,26.5600,2060445
2022-10-06,27.2200,27.4900,26.7350,26.8900,2097189
2022-10-05,27.1000,27.7900,26.8700,27.3100,4160245
2022-10-04,26.9000,28.4590,26.4100,27.4000,8084709
2022-10-03,24.9700,26.1100,24.5800,26.0500,4069722
2022-09-30,24.6200,25.1500,24.3350,24.4800,4675763
2022-09-29,23.4500,27.1200,22.6500,24.6700,7820443
2022-09-28,23.3600,24.2900,23.3500,24.0800,2395220
2022-09-27,23.9500,24.3496,23.0100,23.3400,5852163
2022-09-26,23.6900,24.4700,23.5600,23.5700,2285360
2022-09-23,25.6000,25.9200,23.4300,23.8500,5275027
2022-09-22,27.6100,27.8800,26.0900,26.3000,3830813
2022-09-21,27.1900,29.5000,26.9700,27.5400,8622926
2022-09-20,27.7800,28.5000,26.8800,27.0500,7769838
2022-09-19,26.5200,27.9850,26.4500,27.7500,3508548
2022-09-16,27.0000,27.4050,25.9900,27.0400,7659567
2022-09-15,27.6300,28.9900,27.2250,27.4700,4041589
2022-09-14,27.3100,27.7500,26.7300,27.6300,3043882
2022-09-13,27.3600,28.2700,27.2000,27.2500,3634349
2022-09-12,26.9400,28.4500,26.6400,28.3600,4276930
2022-09-09,26.9200,27.3400,26.5700,26.7600,2127623
2022-09-08,26.3900,26.8600,25.9600,26.6000,2073160
