,1. open,2. high,3. low,4. close,5. volume
2023-01-27,32.1000,32.8050,31.9800,32.5500,2767945
2023-01-26,32.3000,32.3500,31.8950,32.1200,2660336
2023-01-25,31.8000,32.0800,31.6100,32.0800,2554464
2023-01-24,31.4500,31.9650,31.3000,31.9100,2681432
2023-01-23,31.5800,31.7650,31.2550,31.4600,2351950
2023-01-20,30.9100,31.5300,30.6750,31.5300,2956857
2023-01-19,30.8700,31.4200,30.8001,30.9400,2358178
2023-01-18,31.7800,31.9100,30.9300,30.9600,2602112
2023-01-17,31.2600,31.7850,31.1000,31.6300,3043948
2023-01-13,31.1500,31.4950,30.9400,31.2100,2862492
2023-01-12,31.3400,31.6500,30.9500,31.4100,4579934
2023-01-11,30.1700,31.2700,30.1600,31.1500,5339447
2023-01-10,29.6000,29.9700,29.5700,29.8100,2191750
2023-01-09,29.5000,30.1050,29.3600,29.8000,3719826
2023-01-06,28.7900,29.8500,28.6600,29.7400,2986789
2023-01-05,29.4000,29.4350,28.5200,28.5900,5591451
2023-01-04,29.4100,30.2450,29.3600,29.7200,5533671
2023-01-03,29.4100,29.8500,28.8850,29.2600,3123225
2022-12-30,29.8600,29.9900,29.2600,29.6400,2436133
2022-12-29,29.3400,30.0700,29.1700,30.0300,2455579
2022-12-28,29.8600,29.9400,29.0950,29.1100,2146276
2022-12-27,29.8800,29.8900,29.4650,29.7300,2027273
2022-12-23,29.5200,29.9100,29.3000,29.9000,1537159
2022-12-22,29.6200,29.6900,29.0700,29.6200,2811083
2022-12-21,29.7500,30.0200,29.5050,29.7700,3118611
2022-12-20,29.5500,29.7900,29.1800,29.5300,3172168
2022-12-19,30.3300,30.3800,29.5300,29.7500,2911400
2022-12-16,30.6300,30.6500,29.6400,30.3800,8240579
2022-12-15,31.6900,31.9200,31.0900,31.2200,3140574
2022-12-14,32.0800,32.6650,31.7900,32.0100,3508469
2022-12-13,32.1200,32.3900,31.4300,32.0500,4496321
2022-12-12,31.6100,31.6300,30.6650,31.1500,8307295
2022-12-09,32.0100,32.2200,31.5650,31.5900,4739766
2022-12-08,31.9700,32.7250,31.9700,32.1100,5538400
