,1. open,2. high,3. low,4. close,5. volume
2023-01-27,35.4800,36.3950,35.4500,36.2400,8196549
2023-01-26,36.0000,36.3500,34.8200,35.7000,16712044
2023-01-25,36.4200,36.9000,36.2617,36.8700,6402617
2023-01-24,38.5300,38.5300,36.4200,36.6800,3900312
2023-01-23,37.1400,37.2000,36.5300,36.6900,6098559
2023-01-20,36.8200,37.1100,36.4500,37.0600,5247658
2023-01-19,36.0000,36.6800,35.7250,36.4500,5490156
2023-01-18,37.6300,37.7100,35.8000,36.3000,9224257
2023-01-17,36.9900,37.1000,36.4420,37.0400,6790988
2023-01-13,36.0300,37.0200,35.9000,36.9900,5585825
2023-01-12,36.5000,37.0200,36.1100,36.9700,8037264
2023-01-11,35.6100,36.4200,35.4500,35.9700,8963675
2023-01-10,35.4900,36.2400,35.2050,36.2100,5432878
2023-01-09,35.1100,35.9300,34.9200,35.6100,7866318
2023-01-06,33.0000,35.1300,32.8300,35.0800,10662826
2023-01-05,33.2500,33.8350,33.2500,33.5300,5207998
2023-01-04,32.7500,34.0350,32.7000,33.6200,8497301
2023-01-03,33.8200,34.0700,32.1050,32.6000,11467617
2022-12-30,33.1500,33.8700,33.1100,33.6700,8942300
2022-12-29,32.3500,33.5700,32.2100,33.3800,11811601
2022-12-28,33.4600,33.5900,32.1900,32.1900,17673531
2022-12-27,34.6100,34.8799,33.6500,33.9400,15174107
2022-12-23,35.3600,36.1000,35.1800,36.0900,3337827
2022-12-22,36.5700,36.6400,35.0850,35.4600,5571051
2022-12-21,36.6600,37.0450,36.5500,36.6000,3683270
2022-12-20,36.2300,36.7500,36.1300,36.3900,3337695
2022-12-19,37.3800,37.5900,36.3400,36.3500,4014816
2022-12-16,37.0200,37.6000,36.7500,37.2800,8886228
2022-12-15,37.7800,37.9900,36.9850,37.2900,5812682
2022-12-14,38.1000,38.4600,37.6700,38.1400,5602099
2022-12-13,39.8000,39.9000,37.1900,37.7700,6578651
2022-12-12,37.9200,38.9900,37.7650,38.9400,4820171
2022-12-09,37.2600,38.0900,37.1500,38.0100,5678230
2022-12-08,38.1600,38.6300,37.3225,37.4900,6637252
2022-12-07,39.3600,39.3600,37.3900,37.8100,8706773
2022-12-06,39.7000,39.8500,39.3400,39.6800,4239779
2022-12-05,39.5200,40.3800,39.1450,39.5000,5466068
2022-12-02,39.6400,39.9100,39.4100,39.7500,5312603
2022-12-01,40.0000,40.2000,39.7100,40.0800,5185195
2022-11-30,39.2800,39.9350,38.8150,39.9100,4794101
2022-11-29,38.6300,39.3800,38.6300,39.2500,4628793
2022-11-28,38.9600,39.1400,38.4650,38.5700,4533839
2022-11-25,38.6000,39.5750,38.5650,39.2200,2326013
2022-11-23,38.2700,38.9350,38.1350,38.6300,4029331
2022-11-22,37.8200,38.2350,37.3900,38.1700,3034858
2022-11-21,38.0600,38.4300,37.6700,37.7500,3017494
2022-11-18,38.2700,38.6600,37.7122,38.1100,3167035
2022-11-17,37.4000,37.7100,37.3000,37.6300,3734101
2022-11-16,38.3600,38.3996,37.7800,37.9900,4646448
2022-11-15,38.2800,38.9700,38.0700,38.6400,7344381
2022-11-14,38.0800,38.3100,37.7350,37.7500,8198863
2022-11-11,39.0800,39.2600,38.3100,38.3600,8221934
2022-11-10,38.4000,39.1950,37.8300,38.8200,5576669
2022-11-09,37.0900,37.7550,36.9200,37.2000,3366197
2022-11-08,37.4100,37.6250,37.0300,37.4400,4413367
2022-11-07,37.3100,37.7000,36.7900,37.4000,5061152
2022-11-04,37.7100,38.0000,36.8075,37.0800,4658298
2022-11-03,35.9600,37.2500,35.4800,36.9600,5130694
2022-11-02,36.7000,37.5900,36.4900,36.5000,7322344
2022-11-01,36.8400,37.0900,36.5500,36.9400,5401682
2022-10-31,36.2000,36.5600,35.7100,36.3500,6316674
2022-10-28,35.5800,36.3300,34.9700,36.2300,7855137
2022-10-27,35.3200,36.0900,34.9500,35.2900,10819509
2022-10-26,34.6000,35.3313,34.3100,34.3700,9232668
2022-10-25,33.5500,34.7900,33.3700,34.6200,7783913
2022-10-24,33.2800,33.8200,32.9650,33.7200,5841141
2022-10-21,32.6500,33.4155,32.3800,33.1000,5450616
2022-10-20,33.4400,33.6900,32.7900,32.8100,4843630
2022-10-19,33.9800,34.2299,32.7600,33.1200,8804090
2022-10-18,33.3800,33.6200,32.9750,33.3100,4766249
2022-10-17,33.5900,33.6200,32.3900,32.7200,4665658
2022-10-14,32.9600,33.3100,32.2900,32.7600,5843609
2022-10-13,31.0900,32.8000,30.6500,32.4300,6616017
2022-10-12,31.1600,31.7800,31.0100,31.5900,4365498
2022-10-11,32.4100,32.6800,30.9200,31.4100,5624597
2022-10-10,31.8500,32.2900,31.6300,31.6600,4906588
2022-10-07,32.2600,32.4200,31.4150,31.8700,4428776
2022-10-06,32.9200,33.2200,32.4000,32.5400,4264327
2022-10-05,32.4900,33.2850,32.3100,32.9900,4884263
2022-10-04,32.0500,33.3200,32.0500,33.1900,7459739
2022-10-03,30.8400,31.3740,30.2000,31.2200,5734622
2022-09-30,31.3500,31.6100,30.7900,30.8400,6907584
2022-09-29,31.9300,32.0750,31.4000,31.6400,5638414
2022-09-28,31.5100,32.5500,31.4500,32.4300,6910279
2022-09-27,31.8600,32.0600,31.2050,31.5000,6169648
2022-09-26,31.7800,32.3300,31.3000,31.3700,6957684
2022-09-23,32.4000,32.6000,31.5700,32.0500,7767476
2022-09-22,34.0000,34.0700,32.7550,33.0000,6495295
2022-09-21,34.5500,35.2700,34.1200,34.1200,6164926
2022-09-20,35.5700,35.6200,34.7200,35.0900,4953858
2022-09-19,34.6700,36.0550,34.6110,35.8800,7935299
2022-09-16,36.4100,36.4200,34.6600,34.7300,12677786
2022-09-15,37.7700,37.8200,36.8800,36.9000,9367095
2022-09-14,37.3100,38.0700,36.6600,38.0300,4203946
2022-09-13,37.8800,38.1245,37.2600,37.4900,4348470
2022-09-12,38.7300,39.1400,38.5900,38.7700,6078021
2022-09-09,37.8400,38.4600,37.7700,38.3700,5733387
2022-09-08,37.3000,37.7800,36.9650,37.6600,5087722
2022-09-07,36.7700,37.8700,36.7700,37.7900,5394674
2022-09-06,37.0900,37.3500,36.3000,36.7400,4481713
2022-09-02,37.0900,37.5050,36.5100,36.7400,3791268
2022-09-01,36.3200,36.6400,35.8350,36.6300,3932312
2022-08-31,37.4500,37.6800,36.6800,36.7000,4097868
2022-08-30,37.7000,37.8700,36.9900,37.2000,4248764
2022-08-29,37.0000,37.7000,36.9500,37.4300,4021838
2022-08-26,38.5300,38.7400,37.4150,37.5300,3998292
2022-08-25,38.0800,38.8600,37.9600,38.5500,3446449
2022-08-24,37.6000,38.0750,37.4300,37.8000,6097280
2022-08-23,37.6000,37.9600,37.3550,37.4700,4717045
2022-08-22,37.2500,37.4900,36.9300,37.4700,5254302
2022-08-19,38.4800,38.6100,37.6250,37.8800,4382676
2022-08-18,38.9700,39.0500,38.4200,38.9800,2981318
2022-08-17,39.2700,39.6600,38.3600,38.9400,5492615
2022-08-16,39.6000,40.2000,39.3450,39.8700,4716876
2022-08-15,39.3200,40.3900,39.2250,39.6400,4722597
2022-08-12,39.5000,39.5700,38.9200,39.4600,3207289
2022-08-11,39.8500,40.0500,38.8750,38.9700,5047907
2022-08-10,39.1500,39.6600,38.9800,39.2800,3363221
2022-08-09,38.7500,39.1300,38.0300,38.3400,3031987
2022-08-08,38.9300,39.6550,38.9300,39.0800,5418606
2022-08-05,38.3700,39.0000,38.3300,38.8100,4604411
2022-08-04,39.1800,39.4800,38.6800,38.7900,4964960
2022-08-03,37.7600,39.1810,37.6800,39.0000,6452524
2022-08-02,37.9500,38.4100,37.5600,37.6200,5486710
2022-08-01,38.0000,38.4850,37.3400,38.3100,5595481
2022-07-29,37.7300,38.4200,37.6100,38.1200,7902117
2022-07-28,38.3800,38.7699,36.9600,38.1500,16592790
2022-07-27,40.7500,41.0699,40.0150,40.7700,5872450
2022-07-26,40.2000,40.3650,39.4900,39.6000,5086969
2022-07-25,40.2700,40.6700,39.6600,40.6200,4511031
2022-07-22,41.1600,41.2600,40.2200,40.2400,5456943
2022-07-21,40.5900,40.9200,40.1000,40.8900,7632670
2022-07-20,41.4400,41.7600,40.8300,41.5000,5161971
2022-07-19,40.5200,41.6400,40.5200,41.4900,5068915
2022-07-18,40.1500,40.9150,39.7528,39.9500,5433828
2022-07-15,39.0500,39.7200,38.3700,39.5800,5121539
2022-07-14,38.3100,39.2900,38.1000,38.4600,5987823
2022-07-13,37.2800,38.8699,37.0300,38.8000,10121905
2022-07-12,37.4000,39.0750,37.3100,38.5400,8130837
2022-07-11,36.4200,37.0350,36.2200,36.8300,5361388
2022-07-08,36.7100,37.0800,36.2700,36.7000,3820010
2022-07-07,36.7100,37.0950,36.3400,36.7200,4127180
2022-07-06,36.1700,36.9100,35.8000,36.3100,5000404
2022-07-05,35.7200,36.5500,35.0600,36.5100,6517581
2022-07-01,36.0900,36.9300,35.8500,36.7300,4375595
2022-06-30,35.2900,36.3200,34.8800,36.1200,6157043
2022-06-29,36.3700,36.5100,35.8200,36.1800,4330225
2022-06-28,37.4500,38.3950,36.5450,36.6500,5950865
2022-06-27,37.8250,37.8600,36.8000,36.9900,4198207
2022-06-24,36.0200,37.8400,35.9200,37.7300,6657691
2022-06-23,36.0200,36.2600,34.9000,35.9400,6503336
2022-06-22,35.3200,35.9750,34.8600,35.6900,6706341
2022-06-21,36.0000,36.3397,35.1900,35.3200,8449766
2022-06-17,35.1300,35.8700,34.3600,35.6300,8812302
2022-06-16,36.1300,36.3000,34.7100,34.9800,8811596
2022-06-15,37.6700,38.1300,36.7100,37.2300,7937586
2022-06-14,37.9500,38.2200,36.4550,37.2200,8193862
2022-06-13,39.0000,39.2600,37.4150,37.6200,7051527
2022-06-10,41.4200,42.0900,39.9300,40.1400,8413967
2022-06-09,43.2000,43.3400,42.0150,42.0400,4667411
2022-06-08,43.9500,44.6400,43.2150,43.3700,4160198
2022-06-07,43.9000,44.9100,43.6900,44.8800,2707491
2022-06-06,44.5400,44.8400,43.8500,44.4200,3354688
2022-06-03,43.8700,44.1500,43.0600,43.8400,3647632
2022-06-02,44.1300,44.5900,43.6000,44.5700,4494364
2022-06-01,46.4000,46.4600,43.9800,44.1500,4725037
2022-05-31,44.9100,46.2800,44.7500,45.8600,5234004
2022-05-27,45.3600,46.1200,45.2600,45.8000,3279877
2022-05-26,43.4200,45.4400,43.1800,45.0000,5327410
2022-05-25,41.7200,42.5500,41.3700,42.4500,3903655
2022-05-24,42.6100,42.7900,41.5542,41.7300,3898697
2022-05-23,43.2000,43.7100,42.5600,43.3800,3287546
2022-05-20,44.3000,44.4000,41.6500,42.6500,4517807
2022-05-19,43.6600,44.4900,43.3800,43.5700,4295174
2022-05-18,44.5200,45.3499,44.0200,44.2300,4581235
2022-05-17,44.4600,45.1600,44.0500,45.1100,4051142
2022-05-16,42.6900,43.7000,42.6000,43.1800,4578202
2022-05-13,43.0300,43.3200,42.5500,42.9900,5144492
2022-05-12,42.4100,43.4900,41.4302,42.3300,6552864
2022-05-11,44.4200,45.5200,42.9200,43.0100,5743371
2022-05-10,44.3500,45.4200,43.6800,44.5900,6243696
2022-05-09,45.4400,45.7336,43.4500,43.8300,6505508
2022-05-06,46.8000,46.8000,45.3700,46.1200,4112486
2022-05-05,47.2600,48.0000,46.5629,47.0000,4652274
2022-05-04,46.9000,48.1800,46.3500,48.0700,4778264
2022-05-03,46.9200,47.4800,46.0400,47.2500,5384148
2022-05-02,46.4000,47.0600,45.2600,46.5300,6499825
2022-04-29,47.1400,48.1290,46.5700,46.7200,5954225
2022-04-28,47.5500,47.5500,46.0700,46.9000,8735430
2022-04-27,45.0400,46.2050,44.5400,45.9400,6407758
2022-04-26,46.0600,46.3500,44.7500,45.0200,5195428
2022-04-25,46.3100,46.5150,45.2600,46.4300,7064267
2022-04-22,48.3900,48.8950,46.8100,46.8500,6508298
2022-04-21,48.9300,50.1000,48.2200,48.3800,11926039
2022-04-20,47.5700,48.0650,47.1600,47.3300,5728179
2022-04-19,46.6200,47.7000,46.6200,47.3500,6060936
2022-04-18,46.4500,46.8650,46.0400,46.2600,4808178
2022-04-14,46.4400,47.1600,46.2700,46.7600,7226113
2022-04-13,44.4400,46.0700,44.1200,46.0500,11063256
2022-04-12,42.9000,42.9600,42.1700,42.8200,5368204
2022-04-11,41.1300,42.9569,41.0400,42.6200,5991579
2022-04-08,42.3400,42.4279,41.1800,41.2400,7704022
2022-04-07,43.3900,43.4500,41.2800,42.3900,10010163
2022-04-06,44.2800,44.4000,42.6100,43.7300,7428942
2022-04-05,46.0100,46.2300,44.6100,45.2100,6808624
2022-04-04,45.8500,46.1000,44.9900,45.9300,4095678
2022-04-01,45.9200,46.2600,45.4700,45.9100,6012962
2022-03-31,45.6900,46.3900,45.6000,45.8000,5033330
2022-03-30,44.9600,45.6900,44.7700,45.5700,4687196
2022-03-29,45.5300,46.1900,45.0600,45.3300,6100123
2022-03-28,44.6500,44.9300,43.8900,44.4200,4071432
2022-03-25,44.0400,44.7200,43.9300,44.3800,4272061
2022-03-24,42.9700,44.0000,42.6100,43.9200,4528797
