,1. open,2. high,3. low,4. close,5. volume
2023-01-27,298.8300,301.5500,294.7200,300.4100,428201
2023-01-26,298.2200,300.5700,296.1200,298.3500,261419
2023-01-25,296.6300,301.2700,295.8500,297.2200,420366
2023-01-24,295.0200,296.9200,292.0300,296.2100,271950
2023-01-23,299.3000,299.3000,291.7300,297.2700,371909
2023-01-20,297.4500,297.8100,293.2700,297.4500,601099
2023-01-19,297.1300,301.0000,295.8585,298.0700,489017
2023-01-18,298.9000,301.4800,294.6850,295.2000,409079
2023-01-17,301.5800,305.3100,297.4700,299.3200,414927
2023-01-13,297.8500,305.6200,295.8000,300.2500,309619
2023-01-12,302.0500,302.0500,297.0600,299.1500,365179
2023-01-11,293.8400,302.7600,292.0100,302.7600,706372
2023-01-10,298.0000,299.0900,291.9400,292.0000,711816
2023-01-09,303.4400,304.5000,296.3500,296.4000,593403
2023-01-06,300.3600,304.1600,299.5300,301.7000,697848
2023-01-05,311.2900,312.1800,297.9000,298.5400,848660
2023-01-04,320.0500,321.8500,312.6350,313.5300,609206
2023-01-03,327.0000,328.3900,308.7418,318.9200,1300578
2022-12-30,331.4100,331.4100,327.0600,330.2200,272283
2022-12-29,334.8800,334.9200,332.5100,333.2700,202684
2022-12-28,334.3000,336.5800,331.5600,332.4200,165566
2022-12-27,336.3300,340.3200,333.5800,334.3700,266614
2022-12-23,334.3900,335.8800,332.4000,335.0800,194859
2022-12-22,331.2400,336.3299,329.3750,335.3200,203451
2022-12-21,330.3200,333.8200,324.1800,333.7700,409792
2022-12-20,331.8300,333.2800,328.9400,329.4000,794174
2022-12-19,333.6100,335.5750,328.6400,331.6500,688779
2022-12-16,336.4700,338.2600,330.6500,334.8900,1222187
2022-12-15,347.5800,350.0600,336.5650,338.9400,784652
2022-12-14,346.8900,352.5400,345.3300,349.5100,778053
2022-12-13,357.3000,357.3000,341.5700,348.7000,721685
2022-12-12,344.9000,355.2200,341.1200,353.0600,705246
2022-12-09,340.9200,342.5200,337.4200,341.1500,608714
2022-12-08,340.6700,343.3500,338.4100,339.7500,227962
2022-12-07,336.0000,341.3600,335.0500,339.2800,381807
2022-12-06,334.4600,338.6900,333.0300,335.6300,382941
2022-12-05,331.4000,336.1000,330.3500,335.1100,262896
2022-12-02,334.8200,340.2800,333.3800,334.1700,437124
2022-12-01,338.2100,339.4300,334.2900,334.8300,372383
2022-11-30,322.7300,338.1800,321.8500,336.7700,1422678
2022-11-29,325.3900,329.1800,322.5850,322.7200,497122
2022-11-28,325.0000,329.1800,324.9100,326.5300,560679
2022-11-25,321.5700,329.2200,321.5700,327.0800,228163
2022-11-23,317.0000,320.7100,316.4200,320.5800,473994
2022-11-22,319.7700,319.7950,315.0000,316.5500,578987
2022-11-21,317.7500,319.0550,315.2800,316.8900,690749
2022-11-18,317.0000,320.1200,314.6200,317.7500,608598
2022-11-17,311.3500,318.4990,310.5700,312.1000,444897
2022-11-16,316.0700,317.6717,310.6300,312.8200,387296
2022-11-15,316.9400,318.5400,305.3100,312.0300,878295
2022-11-14,319.5700,325.1400,313.7450,314.6800,558707
2022-11-11,331.2800,331.2800,307.7000,317.5000,748468
2022-11-10,334.2300,334.2300,322.2600,329.6900,428624
2022-11-09,334.2100,335.3900,325.4350,326.8000,486067
2022-11-08,330.0000,340.9100,330.0000,334.9700,391493
2022-11-07,331.5600,332.8200,323.2500,330.8800,430008
2022-11-04,354.2600,354.2600,324.5300,330.5500,762182
2022-11-03,347.7000,355.1300,345.0300,352.9500,327276
2022-11-02,355.6700,356.1400,349.9800,350.3400,423686
2022-11-01,358.0000,359.0100,352.0100,355.9700,447500
2022-10-31,352.4800,364.1750,352.4800,358.8600,672219
2022-10-28,353.9400,356.0132,349.2900,354.5000,578786
2022-10-27,372.0000,372.1250,350.9300,351.7900,914533
2022-10-26,367.7200,374.0000,366.5500,369.2300,567501
2022-10-25,366.4500,371.0100,363.3400,366.2500,567161
2022-10-24,361.8500,368.8600,361.4700,364.5900,493128
2022-10-21,353.1500,362.2400,352.0900,360.3800,1068912
2022-10-20,353.5000,359.7400,351.0800,354.3600,530189
2022-10-19,358.7300,359.7900,351.4600,353.2100,577339
2022-10-18,357.0000,361.0300,354.9000,359.6000,396552
2022-10-17,354.9600,358.0200,351.9700,352.4600,427476
2022-10-14,360.5200,362.7500,348.3144,351.8600,516426
2022-10-13,347.4500,359.8000,345.8500,357.1900,341002
2022-10-12,354.3800,356.0400,350.6700,351.0000,285244
2022-10-11,350.5300,360.2500,349.8350,352.6900,455746
2022-10-10,351.5700,353.5800,345.5800,350.4500,292547
2022-10-07,348.4800,351.3600,342.2300,348.7600,545441
2022-10-06,353.2700,357.1350,351.8000,354.0700,410097
2022-10-05,345.6700,356.2400,345.0700,354.4700,430608
2022-10-04,340.8900,348.6100,338.0600,348.4700,408766
2022-10-03,332.3400,339.8600,330.4100,339.3300,306596
2022-09-30,330.4000,338.2100,329.2000,329.8400,442207
2022-09-29,333.5000,333.5000,328.3600,331.1000,432836
2022-09-28,330.0000,335.2100,324.5700,333.6000,338934
2022-09-27,329.2600,333.7400,326.7200,328.2000,312961
2022-09-26,325.0200,329.8100,324.0700,326.8200,365301
2022-09-23,327.7200,329.1100,323.6500,328.7400,333674
2022-09-22,330.3000,332.9300,327.0100,329.5100,356728
2022-09-21,339.0700,341.9000,331.6600,331.9200,340073
2022-09-20,342.0000,342.0000,336.1700,337.9000,612930
2022-09-19,336.6200,344.6700,335.0100,343.7700,764496
2022-09-16,340.5800,340.7000,333.2025,339.3700,1345114
2022-09-15,339.5600,345.8600,338.8900,341.7300,652538
2022-09-14,343.3800,343.8500,333.7400,336.0900,691232
2022-09-13,345.3600,347.7600,342.5900,343.3900,280156
2022-09-12,348.2300,350.6200,344.8600,349.3600,406525
2022-09-09,354.2900,354.4100,347.8700,348.2300,444621
2022-09-08,345.3100,354.0500,343.4000,353.4200,387841
2022-09-07,338.6800,346.5900,335.3000,346.1200,336915
2022-09-06,338.0000,346.9800,335.8000,338.6900,448730
2022-09-02,343.0200,344.5300,335.6400,338.2200,314049
2022-09-01,336.9200,341.6950,335.5100,341.1200,347059
2022-08-31,336.3300,342.4100,333.2000,337.3700,742850
2022-08-30,345.8500,346.4784,335.5800,335.9900,401699
2022-08-29,334.7000,346.2800,333.0100,344.9600,515942
2022-08-26,354.3800,361.2500,337.3700,338.5100,1148800
2022-08-25,324.7600,327.9100,321.7700,327.5000,237747
2022-08-24,321.7900,325.2200,320.2800,323.9300,239196
2022-08-23,328.5200,328.5200,321.6950,321.9900,353162
2022-08-22,327.7700,331.2000,327.7100,329.5000,244307
2022-08-19,329.1700,334.7400,327.9900,331.7100,270916
2022-08-18,332.7500,332.7500,326.8000,328.7900,411796
2022-08-17,332.2200,333.3500,329.3000,331.9200,191396
2022-08-16,332.6300,335.6300,331.2300,334.4300,310242
2022-08-15,330.3300,336.7250,327.5350,333.3900,354724
2022-08-12,329.3100,333.0825,328.6500,332.4300,283086
2022-08-11,330.1600,331.1900,327.0000,328.4000,234108
2022-08-10,329.4800,331.2200,325.7200,329.7700,304861
2022-08-09,328.0400,333.1600,326.5600,327.0400,283933
2022-08-08,327.0400,329.5650,325.6116,327.7000,205990
2022-08-05,322.1400,325.2900,319.5800,324.9100,263504
2022-08-04,328.3800,328.3800,321.5100,323.3200,367135
2022-08-03,329.0100,330.5100,324.6300,328.0600,262206
2022-08-02,324.9600,329.7200,320.6500,327.0400,255078
2022-08-01,325.8400,328.8000,321.6100,324.9500,353751
