,1. open,2. high,3. low,4. close,5. volume
2023-01-27,80.9200,81.6000,80.3900,81.2000,1457147
2023-01-26,81.4100,81.4600,80.1600,81.0800,1353132
2023-01-25,81.5000,81.5000,80.0400,80.9600,1448789
2023-01-24,80.2600,82.5250,80.2600,82.1100,1542934
2023-01-23,80.6200,81.7850,79.8900,81.3500,1104368
2023-01-20,80.0400,80.8400,79.1600,80.8100,1787584
2023-01-19,81.5300,81.7700,79.6200,79.6500,1552073
2023-01-18,83.2200,83.4000,81.7700,81.7900,1876337
2023-01-17,83.2600,83.4900,82.8750,82.9800,1946251
2023-01-13,82.6400,83.3000,82.2220,83.2500,1271983
2023-01-12,82.0000,82.9900,80.7500,82.9000,2503562
2023-01-11,82.2300,82.2300,81.1400,81.9000,2683315
2023-01-10,81.3800,81.7700,80.7700,81.6700,1975328
2023-01-09,81.9800,82.9250,81.3150,81.4700,1652604
2023-01-06,80.9900,82.0500,80.4100,81.8500,1555378
2023-01-05,80.5100,80.8100,79.9600,80.1300,2136300
2023-01-04,79.7800,80.8700,79.3000,80.7700,1611862
2023-01-03,78.9400,79.4600,78.4100,79.1200,1317314
2022-12-30,78.8000,78.9900,77.5500,78.3100,995953
2022-12-29,78.0400,79.2300,77.6000,79.0700,957731
2022-12-28,78.6000,78.7500,77.3900,77.4000,882790
2022-12-27,78.3700,78.9700,78.0100,78.5100,955362
2022-12-23,77.9000,78.6300,77.7400,78.3600,810374
2022-12-22,78.5600,78.7800,77.1000,78.1400,1379563
2022-12-21,78.4400,79.1300,77.9100,79.0300,1621721
2022-12-20,77.9000,78.2600,77.5100,77.9200,1889767
2022-12-19,78.6300,79.0150,77.5716,77.8700,1532695
2022-12-16,78.2100,78.7300,77.7000,78.6000,4036941
2022-12-15,79.3400,79.5700,77.9900,78.8200,2119441
2022-12-14,81.0000,81.9400,79.9000,80.2500,3025928
2022-12-13,82.0000,82.0000,80.5800,80.9500,2600884
2022-12-12,78.9000,80.6200,78.5200,80.5400,1681212
2022-12-09,79.8700,80.0000,78.3550,78.4600,1417236
2022-12-08,79.8800,80.0000,79.0550,79.7400,2376748
2022-12-07,78.9700,79.4900,78.3600,79.0000,2151254
2022-12-06,78.4700,79.2200,78.2500,79.1900,2674043
2022-12-05,78.8200,79.2600,77.8400,78.4800,2100225
2022-12-02,78.0700,80.1600,77.5200,79.7500,1998314
2022-12-01,77.6200,78.9100,77.3400,78.8300,1776688
2022-11-30,76.8100,78.1650,75.5200,78.0900,3462101
2022-11-29,76.4600,77.6200,76.1400,76.8800,1869023
2022-11-28,78.0200,78.3600,76.1950,76.3400,2065831
2022-11-25,78.5400,79.0175,78.2200,78.6700,971086
2022-11-23,77.9700,78.5300,77.5100,78.1000,1898030
2022-11-22,78.5600,78.5900,77.6000,78.2500,1916324
2022-11-21,77.4700,78.5200,76.8050,78.1900,2068824
2022-11-18,78.1800,78.7600,77.4200,77.7600,3697558
2022-11-17,77.0000,77.4100,75.7100,77.3500,3420825
2022-11-16,78.4500,79.7500,78.3300,78.4000,2169657
2022-11-15,78.4700,79.4800,78.1900,78.7100,2349083
2022-11-14,76.7600,79.5600,76.7200,77.7700,4178882
2022-11-11,75.6600,78.0300,75.6150,77.3700,2984532
2022-11-10,74.5200,76.1100,74.5200,75.6000,2643463
2022-11-09,72.9600,73.8900,72.5400,72.6100,1743202
2022-11-08,73.9400,74.2000,72.6000,73.1600,1528100
2022-11-07,73.0900,73.7700,72.6900,73.7400,1777414
2022-11-04,71.2900,73.8700,71.2900,73.2200,2299001
2022-11-03,69.4700,71.0900,69.1200,70.2100,2035020
2022-11-02,71.2100,72.5700,70.2000,70.2100,1782943
2022-11-01,71.2700,72.0200,70.7300,71.5100,1885243
2022-10-31,70.6800,71.5200,70.2400,70.6400,2551864
2022-10-28,70.1200,71.8700,69.8500,71.6900,1918388
2022-10-27,68.5100,71.5200,68.4000,70.0100,3016937
2022-10-26,68.6900,69.1500,66.7800,68.3400,3656729
2022-10-25,66.9800,68.9100,66.9800,68.8500,2567053
2022-10-24,67.1700,67.8900,66.7900,67.0800,2518266
2022-10-21,65.0300,66.9400,64.3000,66.7900,2351057
2022-10-20,66.4400,66.7050,64.6700,64.7500,1923236
2022-10-19,66.4700,66.9500,65.6600,66.2800,1552325
2022-10-18,66.9200,67.0000,66.0000,66.7100,1637234
2022-10-17,65.0300,65.7300,64.8100,65.3700,1688550
2022-10-14,65.4300,66.1000,63.8300,64.1200,1632929
2022-10-13,63.1800,65.5500,62.4900,65.0100,1946388
2022-10-12,65.0700,65.3400,64.5650,64.5800,1637569
2022-10-11,64.9700,65.5700,64.4800,64.7500,1449160
2022-10-10,65.8000,65.9900,64.4700,65.0100,841339
2022-10-07,66.1700,66.5100,64.8700,65.2600,1446566
2022-10-06,67.2200,67.6100,66.7000,66.8000,1669979
2022-10-05,66.4200,67.8800,66.3350,67.4300,1452538
2022-10-04,66.4600,67.4800,66.2850,67.0500,2424965
2022-10-03,64.7200,66.0100,64.1100,65.4400,1905593
2022-09-30,64.5300,64.9200,63.7400,63.8000,2625604
2022-09-29,65.2200,65.3600,63.8750,64.5000,1910815
2022-09-28,65.7300,66.2300,64.8950,65.7700,2264449
2022-09-27,65.9400,66.2500,64.6100,65.1300,1890537
2022-09-26,65.4800,66.5800,64.8500,65.3700,2415477
2022-09-23,64.9900,65.9300,64.7550,65.7800,2551611
2022-09-22,66.5800,67.1150,65.3550,65.4500,1976964
2022-09-21,67.9300,68.8400,67.0200,67.0300,1579761
2022-09-20,67.8300,68.0100,66.8900,67.6200,1842531
2022-09-19,67.4500,68.3500,67.4000,68.2500,2337987
2022-09-16,68.1700,68.3000,67.0200,67.8000,3782524
2022-09-15,69.9000,70.4600,68.6900,68.9300,2129143
2022-09-14,71.0500,71.1750,69.3100,69.8500,2097241
2022-09-13,72.2700,72.4300,70.7600,71.1200,1756298
2022-09-12,73.9900,74.1000,72.8700,73.8000,1693841
2022-09-09,73.1800,73.5400,72.7700,73.4000,1803334
2022-09-08,72.9400,73.2200,72.4200,72.9100,1883942
2022-09-07,72.2100,73.5100,71.7300,73.4100,1751408
2022-09-06,71.7000,72.1500,70.9300,72.0800,1578717
2022-09-02,73.4600,73.6100,71.4500,71.7200,1565901
2022-09-01,72.1400,72.7600,71.3200,72.7200,1653577
2022-08-31,73.2000,73.4900,71.8300,72.2200,3350562
2022-08-30,74.1300,74.3600,72.2300,72.8600,2247014
2022-08-29,74.7500,74.8000,73.8900,74.0700,1438545
2022-08-26,78.3900,78.3900,75.1700,75.2300,1482079
2022-08-25,77.7100,78.2400,77.3900,78.1800,1881593
2022-08-24,76.9600,77.6600,76.7800,77.3700,1676762
2022-08-23,77.1300,77.6600,76.5550,76.9000,1680324
2022-08-22,78.0700,78.2750,77.0900,77.3300,2493907
2022-08-19,80.0300,80.2000,78.9900,79.4100,1212521
2022-08-18,80.5400,80.5900,80.0100,80.4100,1183119
2022-08-17,80.5200,80.8600,80.1600,80.5800,1623175
2022-08-16,81.2400,81.7600,80.9050,81.3200,1862059
2022-08-15,81.2600,81.9400,81.0100,81.5500,2015554
2022-08-12,81.0600,81.8600,80.5500,81.7500,1758848
2022-08-11,80.7100,81.5400,80.1000,80.6000,1665769
2022-08-10,80.0000,80.5450,79.3800,79.9000,1419726
2022-08-09,78.9000,79.0800,78.3600,78.8600,1276566
2022-08-08,79.8000,80.0650,79.0150,79.2800,1882426
2022-08-05,78.9100,79.7150,78.5600,79.3200,1492698
2022-08-04,79.5800,79.8100,79.0400,79.5000,2129610
2022-08-03,77.8500,79.7000,77.4585,79.2300,2483628
2022-08-02,78.1700,78.7700,77.4000,77.4600,2146675
2022-08-01,77.3000,79.0500,77.3000,78.2800,2425713
2022-07-29,77.0900,78.5500,76.3900,78.1700,2183052
2022-07-28,76.0600,77.4900,75.9100,76.8500,2118315
2022-07-27,72.8000,76.6100,72.8000,76.4400,3786533
2022-07-26,72.3900,72.7900,71.5900,72.7200,1897796
2022-07-25,71.9700,72.6600,71.7100,72.3900,1620763
2022-07-22,73.0800,73.2900,71.3800,71.9000,3805271
