,1. open,2. high,3. low,4. close,5. volume
2023-01-27,18.2200,21.4400,18.1400,19.8300,73907060
2023-01-26,19.6800,19.8800,18.0100,18.3100,32276720
2023-01-25,17.4100,18.7650,17.1204,18.6900,26136530
2023-01-24,17.9300,18.6300,17.6200,18.0500,22660052
2023-01-23,16.4800,18.3800,16.4400,18.1000,41768315
2023-01-20,15.9900,16.5100,15.5450,16.2300,23673443
2023-01-19,16.2320,16.3600,15.2800,15.7900,28441538
2023-01-18,17.3900,17.7100,16.4600,16.5000,22158125
2023-01-17,16.6750,17.2800,16.3710,16.9300,25623633
2023-01-13,16.8200,16.8400,15.8200,16.4500,42771422
2023-01-12,17.2500,17.7800,16.4800,17.5800,30584206
2023-01-11,16.5150,17.6950,16.1850,17.0800,33365060
2023-01-10,16.8200,17.3700,16.0200,16.4500,26468270
2023-01-09,16.6200,17.2000,16.4700,16.6200,21572212
2023-01-06,16.0900,16.6550,15.8400,16.4000,22022294
2023-01-05,17.3500,17.3800,16.5300,16.5600,24201211
2023-01-04,17.2000,18.0600,16.5600,17.7100,28730158
2023-01-03,18.9000,18.9900,17.0800,17.3400,25993921
2022-12-30,18.2500,18.5781,17.9150,18.4300,17181766
2022-12-29,18.3900,19.0250,18.1400,18.7300,22062974
2022-12-28,17.7500,18.2600,17.4500,17.7400,20967690
2022-12-27,18.6500,18.7000,17.6500,17.7400,21662961
2022-12-23,19.7650,19.7700,18.5224,19.1400,18952016
2022-12-22,20.6600,20.8100,18.9200,19.7300,24271228
2022-12-21,21.5750,21.6100,20.7300,21.0300,13435043
2022-12-20,21.8500,22.4600,21.2900,21.4000,15114688
2022-12-19,22.5300,22.7400,21.8500,22.0300,18825174
2022-12-16,23.8900,24.3100,22.3000,22.4800,58554643
2022-12-15,24.0300,25.0600,23.8600,23.9700,13295999
2022-12-14,24.9200,25.5800,24.4300,24.5400,14213075
2022-12-13,27.2000,27.9600,24.6300,24.9600,20597281
2022-12-12,26.7500,26.9000,25.5200,25.6100,19596856
2022-12-09,28.3500,29.2754,27.2450,27.2900,11334450
2022-12-08,28.2600,28.6400,27.5900,28.5800,9582453
2022-12-07,27.7500,28.2267,27.2700,27.9400,8877254
2022-12-06,29.5000,29.5400,27.4250,27.8900,13170726
2022-12-05,31.0100,31.3450,29.4350,29.5300,7560385
2022-12-02,30.6300,31.6000,30.2500,31.3600,8879126
2022-12-01,31.9650,32.6000,30.3000,31.4800,12056774
2022-11-30,29.0500,32.2300,29.0200,32.0400,18375927
2022-11-29,29.1500,29.4900,28.6647,28.8500,6705719
2022-11-28,29.1000,29.5600,28.5800,28.6400,7764125
2022-11-25,29.6400,29.6400,29.1000,29.5300,3907611
2022-11-23,29.2700,30.1800,28.9500,29.7100,9511282
2022-11-22,28.5800,29.4700,27.8500,28.9400,10770229
