,1. open,2. high,3. low,4. close,5. volume
2023-01-27,34.0500,34.3350,33.8700,34.1400,3671589
2023-01-26,33.8900,34.0450,33.6100,33.9800,3102349
2023-01-25,33.9200,33.9300,33.3850,33.7300,4320474
2023-01-24,28.4900,34.1200,28.4900,33.9600,3698670
2023-01-23,33.6400,33.9300,33.4500,33.6400,4472366
2023-01-20,33.1700,33.6100,33.0300,33.5800,4759756
2023-01-19,32.5200,33.3000,32.4600,33.1800,12170622
2023-01-18,33.8000,33.9500,32.6800,32.6900,6499880
2023-01-17,33.1400,33.7450,33.1100,33.6300,11974403
2023-01-13,32.9900,33.2300,32.7500,33.1500,20850128
2023-01-12,33.6900,34.0564,33.2900,34.0200,6683733
2023-01-11,32.7700,33.5400,32.6600,33.5400,7105329
2023-01-10,32.0100,32.4050,31.7900,32.3800,7059283
2023-01-09,31.6900,32.1950,31.5700,31.9800,4228114
2023-01-06,31.4200,31.9100,31.3350,31.8000,5124275
2023-01-05,31.8000,31.9400,31.3750,31.4700,4186602
2023-01-04,31.8900,32.2400,31.7600,31.9500,5880657
2023-01-03,32.5500,32.6850,31.6450,31.7500,5713807
2022-12-30,32.2000,32.4450,32.0600,32.4000,3433424
2022-12-29,32.3800,32.6000,32.2450,32.4100,3125259
2022-12-28,32.7700,32.8850,32.1500,32.1900,2797820
2022-12-27,32.7000,32.8400,32.4200,32.7200,3844736
2022-12-23,32.1600,32.6800,32.0050,32.6700,4467888
2022-12-22,32.5100,32.5400,31.3700,32.2100,9676964
2022-12-21,33.0100,33.1500,32.7000,32.7800,7093613
2022-12-20,32.9200,33.2400,32.8100,33.1200,4777606
2022-12-19,33.3000,33.3500,32.9700,33.0800,7016200
2022-12-16,33.5500,33.6200,32.7850,33.3400,11032515
2022-12-15,33.9300,34.1600,33.8000,33.9500,5851051
2022-12-14,34.4100,34.7000,33.9700,34.1900,5700502
2022-12-13,34.8600,34.9200,34.0700,34.3900,5229028
2022-12-12,33.9700,34.0900,33.6850,34.0800,5520381
2022-12-09,33.7200,34.1000,33.6400,33.9300,8135095
2022-12-08,33.8400,34.0600,33.5700,33.6800,4920622
2022-12-07,33.4800,33.9350,33.4800,33.7300,4498042
2022-12-06,33.4100,33.5900,33.2500,33.5400,6652985
2022-12-05,33.7700,33.9400,33.2800,33.3000,5024988
2022-12-02,33.5100,34.0900,33.5100,34.0300,5094283
2022-12-01,34.3900,34.4800,33.2700,33.8600,8627408
2022-11-30,33.6900,34.2500,33.3000,34.2000,7231001
2022-11-29,33.3700,33.7100,33.2800,33.6700,5154955
2022-11-28,33.1500,33.4500,33.0800,33.2400,5735264
2022-11-25,33.3700,33.4450,33.2000,33.3600,2709199
2022-11-23,33.1500,33.4450,33.1010,33.2200,2184991
2022-11-22,32.8600,33.3500,32.7100,33.2300,5260443
2022-11-21,32.1500,32.6900,32.1400,32.6700,5576479
2022-11-18,32.2400,32.4200,31.9650,32.3000,5958858
2022-11-17,31.3000,31.8300,31.2500,31.8200,4795303
2022-11-16,31.7800,31.8800,31.4900,31.6500,5474002
2022-11-15,32.0300,32.0900,31.2600,31.8500,8683314
2022-11-14,31.9600,32.1200,31.5800,31.6500,5706833
2022-11-11,32.7700,32.8700,32.0050,32.1300,6896305
2022-11-10,32.3000,32.9200,32.0900,32.6200,8508746
2022-11-09,31.5900,31.9800,31.4400,31.5300,6116091
2022-11-08,31.8900,31.9950,31.6200,31.7800,6130553
2022-11-07,31.6000,31.9800,31.3200,31.8000,8016520
2022-11-04,30.9300,31.5100,30.8800,31.4300,15811957
2022-11-03,31.7000,32.2500,31.3900,31.9900,5971322
2022-11-02,32.5200,32.8250,31.7500,32.0100,10103439
2022-11-01,32.2600,32.7700,32.1800,32.7000,5314905
2022-10-31,31.7700,32.1850,31.6600,32.0200,5135449
2022-10-28,30.9200,32.1950,30.6000,32.1300,5784628
2022-10-27,30.9000,31.3050,30.8300,30.9900,4659714
2022-10-26,30.7400,30.9600,30.5000,30.6600,4161687
2022-10-25,30.0000,30.8000,29.9500,30.7400,4785104
2022-10-24,30.3000,30.4400,29.7500,29.8900,5339364
2022-10-21,29.7000,30.0850,29.2900,30.0500,5383937
2022-10-20,29.4700,29.9950,29.3100,29.6900,5865225
2022-10-19,30.2800,30.4700,29.3413,29.4000,7167036
2022-10-18,30.9100,31.1700,30.3200,30.6100,6503415
2022-10-17,30.1400,30.5975,30.0300,30.4500,4262133
2022-10-14,31.0400,31.0900,29.6250,29.6500,5767852
2022-10-13,30.1200,30.8700,29.4600,30.7200,6230986
2022-10-12,30.6400,30.8700,30.3400,30.5900,3676532
2022-10-11,30.2400,30.8300,29.9500,30.7200,4567343
2022-10-10,30.7300,30.8550,30.3500,30.3500,4460627
2022-10-07,30.7100,30.9700,30.4450,30.6400,4691240
2022-10-06,31.3000,31.5600,30.8500,30.9600,4815874
2022-10-05,30.9500,31.5150,30.6550,31.3700,6047189
2022-10-04,30.8300,31.5450,30.8100,31.3600,8121297
2022-10-03,30.2600,30.7550,29.8900,30.5400,5595967
2022-09-30,29.6600,30.0950,29.4200,29.8500,8549878
2022-09-29,30.5700,30.5700,29.3500,29.3900,10085425
2022-09-28,30.9100,31.0100,30.4100,30.8800,9856209
2022-09-27,30.8600,31.0800,30.4650,30.6500,6173423
2022-09-26,30.8200,31.2000,30.2900,30.4900,5693197
2022-09-23,31.1100,31.2700,30.4550,30.8800,5924110
2022-09-22,32.0400,32.2100,31.4000,31.4900,5860096
2022-09-21,32.9200,32.9900,32.0100,32.0200,5156745
2022-09-20,33.2600,33.2600,32.8300,32.9800,5805358
2022-09-19,33.1200,33.6000,33.0300,33.5400,7968502
2022-09-16,33.0900,33.4700,32.6100,33.4200,16258819
2022-09-15,33.2700,33.4950,32.9800,33.1100,3822668
2022-09-14,32.9200,33.2650,32.7842,33.2200,4097964
2022-09-13,33.4200,33.7700,33.0000,33.1400,6237014
2022-09-12,33.8400,34.1600,33.7700,34.0400,4123788
2022-09-09,33.5900,33.8400,33.4250,33.7200,3650833
2022-09-08,33.3200,33.5900,33.1000,33.4200,4344804
2022-09-07,33.1700,33.6200,33.1000,33.5000,3871658
2022-09-06,32.8600,33.2800,32.7300,33.1700,4416694
2022-09-02,33.4300,33.4800,32.5750,32.6700,4385720
2022-09-01,32.8000,33.1500,32.5000,33.1100,5531815
2022-08-31,33.2900,33.3899,32.8250,32.9900,5664385
2022-08-30,33.5700,33.7100,32.9700,33.0900,4707912
2022-08-29,33.4700,34.0650,33.3400,33.5300,7837863
2022-08-26,34.3600,34.3600,33.6300,33.6400,5115267
2022-08-25,34.2600,34.4300,34.0850,34.3600,6600411
2022-08-24,33.7700,34.2600,33.6600,33.9900,8594689
2022-08-23,34.0100,34.0500,33.6700,33.6900,6001131
2022-08-22,34.2800,34.4300,33.8600,33.9300,5892348
2022-08-19,34.8300,35.0000,34.5700,34.6200,7939779
2022-08-18,35.0400,35.1500,34.9400,35.0800,3631272
2022-08-17,35.0000,35.2150,34.7616,35.0100,4580210
2022-08-16,35.4200,35.5950,35.1800,35.2700,5004531
2022-08-15,35.3200,35.6900,35.2700,35.5300,4925930
2022-08-12,34.9600,35.4100,34.9100,35.3900,7737659
2022-08-11,34.9300,34.9600,34.5450,34.8200,6738364
2022-08-10,35.0000,35.0500,34.6500,34.8100,8163412
2022-08-09,34.6400,34.8000,34.5450,34.6800,5519441
2022-08-08,34.7200,34.9400,34.5200,34.5700,4213310
2022-08-05,33.7900,34.4700,33.7500,34.4500,4765619
2022-08-04,34.0500,34.4400,33.9250,34.0200,6291312
2022-08-03,34.5000,34.6800,34.0100,34.0400,6486255
2022-08-02,34.1100,34.6050,34.1100,34.2000,5781900
2022-08-01,34.0300,34.4900,33.7900,34.2100,6070794
2022-07-29,33.7600,34.4000,33.6600,34.1900,14825172
2022-07-28,33.8100,33.8500,32.6200,33.8000,6686949
2022-07-27,32.9600,33.5500,32.8900,33.5000,7491856
2022-07-26,33.0000,33.2150,32.8500,32.8800,7506766
2022-07-25,33.1200,33.3350,32.8200,33.1200,6442469
2022-07-22,33.2100,33.2600,32.7600,33.0600,4996791
2022-07-21,32.9800,33.0000,32.6200,32.9900,5303202
2022-07-20,32.9500,33.3100,32.6500,33.0000,6471275
2022-07-19,32.5000,32.9400,32.4200,32.9100,7371664
2022-07-18,32.5000,32.5900,32.0900,32.2000,5769453
2022-07-15,31.8900,32.5000,31.7100,32.4900,8523018
2022-07-14,31.0200,31.6350,30.9800,31.3300,8001812
2022-07-13,31.1600,31.8700,31.0000,31.6000,6409179
2022-07-12,31.2400,31.6950,31.1700,31.5200,4879789
2022-07-11,31.1200,31.5285,30.8900,31.4400,6081596
2022-07-08,30.9700,31.4400,30.8700,31.3200,5453572
2022-07-07,31.0600,31.2100,30.7200,30.9700,6394152
2022-07-06,30.8200,31.1800,30.5500,30.8600,6763052
2022-07-05,30.3600,30.7100,29.7850,30.7000,5533796
2022-07-01,29.6900,30.8200,29.6200,30.7200,6351209
2022-06-30,29.5300,30.2500,29.4300,29.7900,7646858
2022-06-29,30.3200,30.3650,29.6700,29.8700,7617731
2022-06-28,30.9700,31.3900,30.4450,30.5000,7680771
2022-06-27,30.3700,30.7592,30.1600,30.5900,6817509
2022-06-24,29.3900,30.3750,29.2800,30.3200,16266335
2022-06-23,29.3500,29.3500,28.5000,29.1800,11633567
2022-06-22,29.2500,29.7650,29.1400,29.2800,23956873
2022-06-21,29.0300,30.1300,28.9500,29.8600,26139147
2022-06-17,29.1600,29.3000,28.4050,28.8100,61550588
2022-06-16,28.7000,28.9200,28.2200,28.7600,23740604
2022-06-15,28.4300,29.6850,28.3200,29.2700,19125458
2022-06-14,28.7100,28.7250,27.7500,28.1300,12096323
2022-06-13,29.2700,29.2700,28.4100,28.6000,14162999
2022-06-10,30.4000,30.4200,29.8000,29.9400,10566457
2022-06-09,31.2800,31.3600,30.6700,30.6800,8526170
2022-06-08,31.8500,32.0800,31.3000,31.4600,13388415
2022-06-07,32.0200,32.9400,31.2700,32.1100,198882173
2022-06-06,33.5100,33.9500,32.4200,32.4500,57119264
2022-06-03,31.3600,31.7800,31.1000,31.3900,13981987
2022-06-02,30.8500,31.6700,30.8200,31.4200,15305481
2022-06-01,31.0200,31.0679,30.4050,30.8100,8539909
2022-05-31,30.6900,31.0300,30.4950,30.8500,14179458
2022-05-27,30.2900,31.0050,30.2100,30.8700,7772945
2022-05-26,29.7700,30.5175,29.7500,30.0600,10613566
2022-05-25,28.8000,29.7100,28.8000,29.6700,9314504
2022-05-24,29.0300,29.1000,28.3350,28.9600,8945103
2022-05-23,29.1600,29.4100,28.7600,29.1700,7353400
2022-05-20,29.5000,29.5500,28.3300,28.9500,9057029
2022-05-19,29.1500,29.6700,29.0200,29.2900,9337515
2022-05-18,29.4300,29.5600,28.9750,29.2100,7267842
2022-05-17,29.3400,29.6150,29.1100,29.5400,11779404
2022-05-16,28.6800,29.4300,28.6600,29.0200,9206143
2022-05-13,27.7300,28.7300,27.4900,28.7300,10260478
2022-05-12,27.2200,27.5100,26.9400,27.4400,12490233
2022-05-11,26.7300,27.8600,26.5500,27.3200,10322694
2022-05-10,27.4700,27.7600,26.4194,26.6800,11636184
2022-05-09,28.5800,28.7000,27.1000,27.2600,12655373
2022-05-06,29.6300,29.7300,28.7300,28.9200,12071821
2022-05-05,30.8000,30.8000,29.3800,29.7600,9928966
2022-05-04,29.8300,30.6900,29.4500,30.6500,14079745
2022-05-03,29.1300,30.2900,29.1300,29.9300,14946361
2022-05-02,29.9600,30.0725,28.1600,29.0500,38991772
2022-04-29,30.4650,30.9100,29.5900,29.8100,64837649
2022-04-28,29.7300,30.9700,29.5300,30.6400,40779834
2022-04-27,29.5800,29.9050,29.4200,29.5700,9987199
2022-04-26,30.0300,30.2100,29.4500,29.5600,10612599
2022-04-25,29.6800,30.0600,29.3300,30.0300,11444001
2022-04-22,30.0800,30.0800,29.6600,29.6800,7984769
2022-04-21,30.4700,30.6900,30.0850,30.1200,7107280
2022-04-20,29.9400,30.3500,29.8400,30.1700,9587873
2022-04-19,29.6500,30.0000,29.5400,29.9200,10184767
2022-04-18,29.0300,29.5450,29.0150,29.4800,6967258
2022-04-14,29.0000,29.1900,28.7300,29.0900,5128458
2022-04-13,28.2600,28.9100,28.2600,28.8300,6189080
2022-04-12,28.2500,28.4750,28.1700,28.2600,5444654
2022-04-11,28.0700,28.4200,27.9850,28.1500,3571957
2022-04-08,27.7700,28.3550,27.6100,28.2400,5592459
2022-04-07,28.4600,28.5700,27.6250,27.8000,5921625
2022-04-06,28.0100,28.6600,27.9000,28.5900,7847112
2022-04-05,28.4200,28.5890,28.0500,28.2800,9426000
2022-04-04,28.9400,29.0100,28.0600,28.4400,6585109
2022-04-01,28.6000,28.9200,28.5300,28.9200,3558421
2022-03-31,29.0800,29.1500,28.4400,28.4600,5773376
2022-03-30,28.7000,29.2050,28.6700,28.9400,8785759
2022-03-29,28.1900,28.9400,28.1700,28.8900,6781248
2022-03-28,27.2500,27.8600,27.1900,27.8600,5741722
2022-03-25,27.2200,27.3700,27.0250,27.3200,4793442
2022-03-24,27.2500,27.3100,26.8230,27.1400,5890259
2022-03-23,27.2500,27.2800,26.7600,27.1500,10899471
2022-03-22,27.0600,27.6700,27.0400,27.6100,13402546
2022-03-21,27.5000,27.6200,26.7400,26.8700,11630800
2022-03-18,27.6100,27.9500,27.4350,27.5400,19784693
2022-03-17,27.1500,27.8900,27.1400,27.8100,12574964
2022-03-16,27.2300,27.5400,26.8300,27.2900,12087199
2022-03-15,26.8500,27.2900,26.8200,26.9800,4771869
2022-03-14,27.2400,27.4300,26.5450,26.7700,6116393
2022-03-11,27.6200,27.6700,27.0750,27.1300,5085177
2022-03-10,27.1900,27.6850,27.0150,27.3500,7021657
2022-03-09,27.4300,27.7500,27.4200,27.4700,4441741
2022-03-08,26.7000,27.5100,26.5800,26.8600,8846282
2022-03-07,27.7400,27.9500,26.7600,26.7800,8733251
2022-03-04,28.2700,28.4950,27.5800,27.8700,11627022
2022-03-03,29.0400,29.1100,28.2650,28.5400,7945576
2022-03-02,28.0000,28.9300,27.9600,28.8100,10468704
2022-03-01,28.0800,28.4300,27.7800,27.9100,11712136
2022-02-28,27.9000,28.2700,27.5150,27.9600,13127031
2022-02-25,27.6600,28.0800,27.3650,28.0700,7524396
2022-02-24,26.5000,27.6400,26.4600,27.5300,8207937
2022-02-23,27.5200,27.6700,26.9150,26.9700,8576384
2022-02-22,27.7700,27.8500,27.2600,27.3100,8096471
2022-02-18,27.9400,28.3000,27.6500,27.9200,6953443
2022-02-17,28.5700,28.7200,27.8800,27.9100,16853971
2022-02-16,28.9100,29.0600,28.5550,28.7800,4384891
2022-02-15,28.3500,28.9100,28.3500,28.8600,9021315
2022-02-14,28.1550,28.4000,27.8650,28.1600,9146794
2022-02-11,28.3700,28.6100,27.9000,28.2500,9776883
2022-02-10,28.5800,29.0000,28.2400,28.3700,5989735
2022-02-09,28.4500,29.0000,28.3100,28.8600,5029388
2022-02-08,28.2500,28.3500,28.0050,28.1600,9698033
2022-02-07,28.2700,28.5500,28.1500,28.1800,8230388
2022-02-04,28.1800,28.4500,27.9350,28.1400,4625673
