,1. open,2. high,3. low,4. close,5. volume
2023-01-27,101.0000,103.2200,100.5800,102.4200,1881485
2023-01-26,103.3700,103.4850,100.5400,101.3300,2784542
2023-01-25,102.4300,103.0300,101.0700,102.5400,2858311
2023-01-24,101.0300,104.4600,101.0000,103.5700,4812124
2023-01-23,100.6600,101.9000,97.2900,101.4200,11675133
2023-01-20,109.0700,110.2200,108.2000,110.1800,1244038
2023-01-19,112.9300,113.1150,108.5000,108.6300,843406
2023-01-18,116.7200,117.2400,113.1600,113.5400,779588
2023-01-17,116.8700,117.4199,115.6900,116.0000,706344
2023-01-13,118.0000,118.5800,115.8900,116.9300,938004
2023-01-12,115.3200,116.6300,114.2400,116.1900,679291
2023-01-11,113.5200,114.9200,113.0200,114.8600,985995
2023-01-10,111.3800,113.1500,111.3800,112.9400,494080
2023-01-09,111.8200,113.7400,111.2300,111.7900,1224702
2023-01-06,108.9300,111.8550,108.2900,111.2700,636235
2023-01-05,109.9300,110.1800,106.8300,107.4500,1295730
2023-01-04,110.3400,111.7600,109.6600,110.5900,905934
2023-01-03,111.8800,111.9700,109.3000,110.7600,812354
2022-12-30,110.8000,111.3200,109.5550,110.5700,548889
2022-12-29,109.9000,112.2625,109.2400,111.6400,516306
2022-12-28,110.8200,111.5700,108.7800,108.9400,480388
2022-12-27,109.9900,111.3000,109.2300,110.7200,468220
2022-12-23,109.6100,110.1900,109.0600,109.7300,321094
2022-12-22,109.9300,110.0700,107.2550,109.8100,662939
2022-12-21,109.1600,111.1700,108.7987,111.1500,719679
2022-12-20,108.3000,109.1900,107.8400,108.2900,801790
2022-12-19,109.4600,110.8300,107.6900,108.4800,900198
2022-12-16,109.3900,110.8000,109.0226,109.9100,1748324
2022-12-15,112.9200,113.2100,109.3200,110.6400,1140078
2022-12-14,115.1200,116.7800,114.0500,114.7500,846657
2022-12-13,116.3200,116.6450,113.8400,114.9900,646934
2022-12-12,111.7800,113.3500,110.9500,113.2900,876458
2022-12-09,111.7800,112.9900,110.8700,111.2300,1128546
2022-12-08,111.5700,112.0900,110.8200,111.3400,518111
2022-12-07,110.8200,112.0400,110.7000,110.9800,460465
2022-12-06,112.1600,112.1900,109.5700,110.8100,670420
2022-12-05,111.8600,112.3200,110.6700,112.0400,734735
2022-12-02,112.1600,114.2400,111.2900,113.5300,768736
2022-12-01,113.4300,114.1800,112.0300,113.8000,859403
2022-11-30,109.6600,112.7200,108.6300,112.3500,2360771
2022-11-29,109.6200,110.4900,109.1500,109.8800,819027
2022-11-28,112.4600,112.6800,108.8100,109.6100,1184873
2022-11-25,113.7400,114.1700,113.4100,113.5000,539552
2022-11-23,112.8500,113.9700,112.4100,113.2500,585635
2022-11-22,112.5600,113.4300,111.8900,112.5800,509867
2022-11-21,111.7500,112.9600,111.6200,111.9900,529356
2022-11-18,112.0000,113.2000,111.4000,112.6300,637397
2022-11-17,110.4900,111.6250,109.4450,110.7900,587317
2022-11-16,113.2100,113.9800,112.2650,112.4100,917284
2022-11-15,110.5000,112.3750,109.9750,112.1300,941061
2022-11-14,110.7900,111.1100,108.8350,108.9800,1008082
2022-11-11,111.6000,113.0850,111.1000,111.2000,722561
2022-11-10,109.1700,111.9400,109.0900,111.7400,811734
2022-11-09,107.4500,107.6100,104.9900,105.3500,853198
2022-11-08,108.9300,109.6500,107.2000,108.2700,897273
2022-11-07,107.4600,108.8900,106.5400,108.7300,835184
2022-11-04,108.5600,108.9000,105.9200,107.2100,1035851
2022-11-03,103.1400,108.2100,102.7400,107.1700,1120605
2022-11-02,105.6000,107.7500,103.9200,104.2700,1529297
2022-11-01,106.7300,107.5100,102.8800,105.5400,1761279
2022-10-31,102.0600,103.5500,101.7700,102.4300,1227904
2022-10-28,100.6700,102.6600,100.3000,102.5200,914230
2022-10-27,99.8000,101.7700,99.6100,100.5500,1048441
2022-10-26,98.7000,100.2100,98.3050,99.0700,680735
2022-10-25,95.8200,98.3300,95.8200,98.2200,759088
2022-10-24,94.9200,96.4400,94.4473,96.0000,686787
2022-10-21,91.5300,94.0900,90.4600,93.8600,911350
2022-10-20,92.8400,93.2200,90.4600,91.0400,771035
2022-10-19,92.8100,93.4370,91.6700,92.9000,686984
2022-10-18,93.6500,94.3950,92.6200,93.5800,1121337
2022-10-17,88.1500,90.8300,87.9950,90.5500,1099039
2022-10-14,89.0000,90.3500,86.0300,86.2000,895808
2022-10-13,84.9900,88.7500,84.1550,88.3400,976443
2022-10-12,89.8300,89.8300,87.1700,87.2200,873085
2022-10-11,88.3500,89.9300,87.5500,89.0500,710034
2022-10-10,90.3300,90.5000,87.8650,88.8200,665438
2022-10-07,90.2300,90.6500,88.5700,89.2700,966839
2022-10-06,92.6800,93.0100,91.2977,91.6600,953489
2022-10-05,91.7800,93.2900,91.2400,92.6600,820401
2022-10-04,91.6300,93.2300,91.6300,93.1400,807933
2022-10-03,88.2700,90.6900,87.7900,90.2000,1022777
2022-09-30,88.3400,89.5000,87.2100,87.3600,2155042
2022-09-29,89.3500,89.5600,87.5200,88.0900,959707
2022-09-28,89.3000,91.0700,88.6400,90.5700,730693
2022-09-27,89.8100,90.2000,87.4000,88.3600,878834
2022-09-26,89.5900,90.8600,88.5600,88.8900,916349
2022-09-23,89.8300,90.5000,88.3700,89.8600,815522
2022-09-22,93.1900,93.6500,90.6600,90.7000,831922
2022-09-21,95.7600,97.4500,93.3800,93.3800,877726
2022-09-20,95.5400,95.8400,93.7100,94.8400,1525743
2022-09-19,92.6800,96.7700,92.5900,96.4700,1224320
2022-09-16,92.9600,93.6100,91.3800,93.2600,3034715
2022-09-15,94.3600,95.3650,93.6800,94.2800,1148546
2022-09-14,93.7900,94.9900,92.7900,94.5600,965577
2022-09-13,95.1700,95.4000,93.3800,93.7200,1010372
2022-09-12,97.1300,97.6900,96.4800,97.6000,1089518
2022-09-09,96.7800,97.3700,96.2800,96.8700,767290
2022-09-08,94.8600,96.8150,94.5200,96.4300,943190
2022-09-07,92.7500,96.1600,92.7500,95.8000,974615
2022-09-06,91.4900,92.6450,90.8900,92.5000,1025228
2022-09-02,93.2500,93.9300,90.8000,91.2100,764258
2022-09-01,90.8500,92.3350,90.1200,92.0900,1720386
2022-08-31,91.6900,92.7600,90.5900,91.1000,1321946
2022-08-30,92.5500,92.5500,90.7000,91.3500,643689
2022-08-29,92.5000,93.1400,91.5100,92.0500,872475
2022-08-26,98.0400,98.0400,92.7900,92.9700,628660
2022-08-25,96.6000,97.5700,96.1600,97.5500,486981
2022-08-24,96.1700,96.7900,95.6600,96.1300,412333
2022-08-23,96.8900,97.7700,95.7000,96.1500,672739
2022-08-22,98.1000,98.1300,96.3000,96.9800,909817
2022-08-19,101.5700,101.5700,99.1450,99.5300,723551
2022-08-18,102.6000,102.6000,101.3300,102.3500,493965
2022-08-17,102.7900,103.3600,102.1800,102.3200,532377
2022-08-16,102.6600,104.2200,102.4100,103.9600,683686
2022-08-15,102.5500,103.9400,102.5500,103.5000,413014
2022-08-12,101.6200,103.4700,101.3600,103.3800,682375
2022-08-11,101.2400,101.9300,100.8900,101.1400,683054
2022-08-10,100.4000,100.7900,99.5650,100.4800,649440
2022-08-09,98.9400,99.0500,97.3900,98.0500,767286
2022-08-08,98.1400,100.1200,98.1400,99.6600,1496262
2022-08-05,96.6800,97.3600,95.6600,97.2200,777449
2022-08-04,96.6500,98.3000,96.6500,97.7000,981276
2022-08-03,96.6000,97.7600,94.8800,97.3100,1375826
2022-08-02,95.1100,98.2600,94.8600,95.3700,2116856
2022-08-01,90.9400,91.9600,90.4800,91.2000,1056797
2022-07-29,90.2200,92.3000,89.7750,92.0300,793778
2022-07-28,88.0800,90.3398,88.0450,89.9800,1085225
2022-07-27,85.6200,87.5800,84.7468,87.2400,2232501
2022-07-26,84.0800,85.0250,82.8100,84.9200,1068780
2022-07-25,84.4500,84.5800,83.6200,84.3000,866660
2022-07-22,83.2300,84.6700,83.2200,84.3400,1264611
2022-07-21,81.5300,83.0800,81.0900,82.9600,891153
2022-07-20,81.2500,82.0700,80.5600,81.2000,1022279
2022-07-19,76.9700,79.9200,76.7300,79.7800,868735
2022-07-18,77.6700,77.8000,75.5200,75.8800,699087
2022-07-15,77.0800,77.6500,76.0800,77.2800,731839
2022-07-14,74.5900,75.5500,73.7979,75.4500,541478
2022-07-13,75.2800,76.8600,74.9100,76.0300,662998
2022-07-12,78.0600,78.8400,76.5000,76.7800,615752
2022-07-11,78.3700,78.8800,78.0400,78.1900,555600
2022-07-08,80.1000,80.4750,78.5600,78.7600,705435
2022-07-07,79.8900,80.6670,79.2100,80.3300,598464
2022-07-06,78.6000,80.1100,78.2100,79.5100,852002
2022-07-05,77.3200,78.8500,76.4950,78.8000,838357
2022-07-01,78.4300,79.2600,77.3000,78.7500,690751
2022-06-30,77.0300,78.7100,76.4700,78.1800,1027324
2022-06-29,77.6600,78.1000,76.4200,78.0300,765774
2022-06-28,79.5300,80.4700,77.7700,77.9000,788449
2022-06-27,80.1000,80.7000,78.7500,79.5500,853169
2022-06-24,77.6100,79.6300,77.4959,79.6100,2670965
2022-06-23,75.3200,77.0600,74.3800,76.8300,2347907
2022-06-22,74.0600,76.0500,73.9400,75.5200,1195675
2022-06-21,73.7800,75.3200,73.0900,74.8100,1299861
2022-06-17,73.2200,74.4700,72.8900,72.9100,1494478
2022-06-16,74.4000,74.8000,72.0800,73.0700,1438222
2022-06-15,77.3600,77.8900,75.4900,76.4500,815133
2022-06-14,76.8500,77.2750,75.1000,76.5000,1082085
2022-06-13,78.1700,79.0622,76.5300,76.9600,938876
2022-06-10,80.7000,81.0700,79.2600,80.1400,912655
2022-06-09,84.2800,84.6700,82.7000,82.7200,614236
2022-06-08,85.1100,85.9000,84.4000,84.6300,496630
2022-06-07,84.7200,86.1800,84.4350,86.0100,578864
2022-06-06,86.1100,87.2300,85.5500,85.6700,719010
2022-06-03,85.3900,85.8300,84.7000,85.4800,671386
2022-06-02,84.4000,86.5700,83.8400,86.5100,702654
2022-06-01,84.9500,85.6000,83.0600,83.7500,800526
2022-05-31,84.9300,85.9100,83.3100,84.2500,1704845
2022-05-27,84.9700,85.9500,84.7800,85.9100,920967
2022-05-26,82.4500,84.1900,82.4500,83.9300,870901
2022-05-25,80.8100,81.3300,78.9150,81.0300,2503346
2022-05-24,80.9700,82.5400,79.2820,81.9500,1006620
2022-05-23,82.4800,82.9500,80.8601,81.2400,816723
2022-05-20,82.4800,82.7550,79.6200,81.6900,856188
2022-05-19,80.0900,82.6900,79.6200,81.9500,1055175
2022-05-18,82.5200,83.2550,80.6450,80.9600,849543
2022-05-17,83.4700,84.1999,82.6908,84.0400,688425
2022-05-16,82.3500,83.3700,81.1800,81.8000,1079192
2022-05-13,83.6700,85.0800,82.6500,83.9100,911843
2022-05-12,80.1600,82.8500,80.0000,82.7900,1024519
2022-05-11,82.3800,82.9137,80.7250,80.8900,981132
2022-05-10,85.9400,86.4950,82.1110,82.6300,1619536
2022-05-09,83.9800,86.3200,83.4400,84.9800,1400617
2022-05-06,85.4700,85.8600,82.9000,85.2100,1153098
2022-05-05,89.2600,89.8700,85.4400,86.2800,1555726
2022-05-04,85.6300,90.5800,85.0000,90.3000,2205736
2022-05-03,81.6500,82.9450,80.6700,82.3700,1695291
2022-05-02,80.2900,82.3800,80.0000,81.8300,1272965
2022-04-29,83.0300,83.9900,80.3000,80.5000,1056050
2022-04-28,82.0900,83.6800,80.7400,83.4100,1090747
2022-04-27,80.8800,83.3400,80.8700,82.1100,1550387
2022-04-26,83.0500,83.9600,80.8000,80.8100,1150761
2022-04-25,84.4100,84.4100,82.1000,84.0500,932456
2022-04-22,85.7800,86.8700,84.5100,84.6700,1087673
2022-04-21,87.7300,87.9400,85.5900,86.4800,1089319
2022-04-20,86.3400,87.4800,85.9700,86.8000,900319
2022-04-19,82.9700,86.0400,82.9500,85.3400,1123403
2022-04-18,83.4500,84.3200,82.2300,82.6500,1337339
2022-04-14,86.9200,87.7500,84.0500,84.1400,3518553
2022-04-13,84.5700,86.6700,84.3700,86.5400,1061504
2022-04-12,86.0800,86.9800,84.5266,84.8500,1172869
2022-04-11,86.5300,86.9400,85.5100,85.7300,1076695
2022-04-08,86.9400,88.7900,86.4600,86.6700,1363513
2022-04-07,86.3900,87.2200,85.1300,86.7200,1153111
2022-04-06,85.4700,86.7200,84.1800,86.7100,1271268
2022-04-05,87.1900,88.1600,86.4400,86.8900,1346106
2022-04-04,86.0800,87.2550,85.6700,86.7600,850677
2022-04-01,86.4300,86.7300,85.0400,86.2300,913217
2022-03-31,87.7400,88.0400,85.2000,85.2600,1415466
2022-03-30,88.8100,89.3500,87.7200,88.1000,720457
2022-03-29,89.1100,90.2801,87.9600,89.2700,1022982
2022-03-28,86.1400,86.8800,85.3500,86.8500,859990
2022-03-25,86.6700,87.1500,85.9400,86.6900,811196
2022-03-24,86.7400,87.2200,85.7700,86.3400,1075578
2022-03-23,87.9500,88.3055,86.4700,86.5400,1819756
2022-03-22,88.6000,89.3100,87.7000,88.6900,1672811
2022-03-21,87.7100,88.6500,86.6900,87.6600,1643580
2022-03-18,88.4900,88.9200,86.8000,88.0700,4283662
2022-03-17,86.3000,88.5200,86.1300,88.1000,1648073
2022-03-16,86.1100,88.6600,85.0700,87.1000,1568058
2022-03-15,84.4900,85.9800,83.9900,85.5100,1094267
2022-03-14,85.0300,86.3700,83.6000,83.9900,1173569
2022-03-11,84.8400,85.9400,83.5300,83.6200,1389810
