symbol,name
2330,台積電
2317,鴻海
2454,聯發科
2308,台達電
2303,聯電
2881,富邦金
2412,中華電
1303,南亞
2891,中信金
2002,中鋼
2882,國泰金
2886,兆豐金
3711,日月光投控
1301,台塑
2884,玉山金
1216,統一
5871,中租-KY
2892,第一金
2885,元大金
5880,合庫金
1326,台化
1101,台泥
2880,華南金
3008,大立光
2327,國巨
2207,和泰車
2883,開發金
3034,聯詠
2382,廣達
6415,矽力*-KY
2357,華碩
2887,台新金
2890,永豐金
3037,欣興
5876,上海商銀
3045,台灣大
1590,亞德客-KY
2379,瑞昱
2603,長榮
2912,統一超
2395,研華
1402,遠東新
2801,彰銀
6505,台塑化
2609,陽明
2615,萬海
4904,遠傳
9910,豐泰
8046,南電
2408,南亞科
1605,WALSIN LIHWA CORPORATION
2301,LITE-ON TECHNOLOGY CORP.
4938,Pegatron Corporation
2345,Accton Technology Corp.
2474,CATCHER TECHNOLOGY CO. LTD.
2888,Shin Kong Financial Holding Co.Ltd.
2409,AUO Corporation
1102,Asia Cement Corporation
6409,VOLTRONIC POWER TECHNOLOGY CORP.
3481,INNOLUX CORPORATION
1476,ECLAT TEXTILE CO. LTD.
6770,Powerchip Semiconductor Manufacturing Corp.
2324,Compal Electronics Inc.
9945,RUENTEX DEVELOPMENT CO.LTD.
2377,MICRO-STAR INTERNATIONAL CO.LTD.
3231,Wistron Corporation
2347,Synnex Technology International Corp.
2356,INVENTEC CORPORATION
2371,TATUNG COMPANY
2618,EVA AIRWAYS CORPORATION
2360,CHROMA ATE INC.
9904,Pou Chen Corporation
2353,ACER INCORPORATED
2027,TA CHEN STAINLESS PIPE CO. LTD.
2834,TAIWAN BUSINESS BANKLTD.
3702,WPG HOLDINGS LIMITED
3443,Global Unichip Corp.
4958,Zhen Ding Technology Holding Limited
2337,MACRONIX INTERNATIONAL CO. LTD.
2049,HIWIN TECHNOLOGIES CORP.
2344,Winbond Electronics Corporation
2105,Cheng Shin Rubber Ind. Co. Ltd.
6669,Wiwynn Corporation
9921,GIANT MANUFACTURING CO. LTD.
2633,Taiwan High Speed Rail Corporation
3023,SINBON ELECTRONICS CO.LTD.
2354,FOXCONN TECHNOLOGY CO. LTD
6239,Powertech Technology Inc.
2376,GIGA-BYTE TECHNOLOGY CO. LTD.
1229,Lien Hwa Industrial Holdings Corporation
1504,TECO ELECTRIC & MACHINERY CO. LTD.
2610,China Airlines Ltd.
3661,Alchip Technologies Limited
2383,ELITE MATERIAL CO. LTD.
2542,Highwealth Construction Corp.
3533,LOTES CO. LTD
2385,CHICONY ELECTRONICS CO. LTD.
2313,COMPEQ MANUFACTURING COMPANY LIMITED
3044,Tripod Technology Corporation
2201,YULON MOTOR CO.LTD
1477,Makalot Industrial Co. Ltd.
2812,TAICHUNG COMMERCIAL BANK Co. Ltd.
6176,RADIANT OPTO-ELECTRONICS CORP.
9914,MERIDA INDUSTRY CO.LTD.
8454,momo.com Inc.
2492,WALSIN TECHNOLOGY CORPORATION
2498,HTC Corporation
2449,KING YUAN ELECTRONICS CO. LTD.
8464,Nien Made Enterprise Co. Ltd.
1722,TAIWAN FERTILIZER CO. LTD.
2889,IBF Financial Holdings Co. Ltd.
2838,UNION BANK OF TAIWAN
9941,Yulon Finance Corporation
2352,Qisda Corporation
3665,BizLink Holding Inc.
1802,TAIWAN GLASS IND. CORP.
1314,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION
3035,FARADAY TECHNOLOGY CORP.
3653,JENTECH PRECISION INDUSTRIAL CO. LTD
2006,Tung Ho Steel Enterprise Corp.
3714,ENNOSTAR Inc.
1907,YFY Inc.
2809,King's Town Bank
2915,RUENTEX INDUSTRIES LIMITED
5269,ASMEDIA TECHNOLOGY INC.
6271,TONG HSING ELECTRONIC INDUSTRIES LTD.
1210,GREAT WALL ENTERPRISE CO. LTD.
1717,ETERNAL MATERIALS CO. LTD.
3406,GENIUS ELECTRONIC OPTICAL CO.LTD.
3189,KINSUS INTERCONNECT TECHNOLOGY CORP.
2637,Wisdom Marine Lines Co. Limited
2845,FAR EASTERN INTERNATIONAL BANK
9917,TAIWAN SECOM CO.LTD.
3017,Asia Vital Components Co. Ltd.
1434,FORMOSA TAFFETA CO.LTD
2368,GOLD CIRCUIT ELECTRONICS LTD
3036,WT MICROELECTRONICS CO. LTD.
6531,AP Memory Technology Corporation
6550,Polaris Group
2014,CHUNG HUNG STEEL CORPORATION
2059,KING SLIDE WORKS CO.LTD
6789,VisEra Technologies Company Ltd.
1795,Lotus Pharmaceutical Co. Ltd.
2606,U-MING MARINE TRANSPORT CORP.
4919,Nuvoton Technology Corporation
1227,STARD FOODS CORPORATION
6592,HOTAI FINANCE CO. LTD.
6781,Advanced Energy Solution Holding Co. Ltd.
5522,Farglory Land Development Co. Ltd
3532,FORMOSA SUMCO TECHNOLOGY CORPORATION
